teacherextuserid,classtitle,classcode2
tch_20220819-174539_1,class_20220819-174539_1,27F6-PD9Z
tch_20220819-174539_2,class_20220819-174539_2,78o2-QMn2
tch_20220819-174539_3,class_20220819-174539_3,t69J-9ED4
tch_20220819-174539_4,class_20220819-174539_4,e2NT-9iUf
tch_20220819-174539_5,class_20220819-174539_5,6oc3-93ob
tch_20220819-174539_6,class_20220819-174539_6,JGA8-X7nY
tch_20220819-174539_7,class_20220819-174539_7,trPR-WMuH
tch_20220819-174539_8,class_20220819-174539_8,u63t-hCbP
tch_20220819-174539_9,class_20220819-174539_9,36i2-9eW7
tch_20220819-174539_10,class_20220819-174539_10,UZgz-42YB
tch_20220819-174539_11,class_20220819-174539_11,s29A-b8LP
tch_20220819-174539_12,class_20220819-174539_12,oN7J-BfGV
tch_20220819-174539_13,class_20220819-174539_13,uQdx-buf6
tch_20220819-174539_14,class_20220819-174539_14,4H8Y-2MTb
tch_20220819-174539_15,class_20220819-174539_15,HLPc-nd9n
tch_20220819-174539_16,class_20220819-174539_16,6z8e-pmvi
tch_20220819-174539_17,class_20220819-174539_17,ksxZ-283F
tch_20220819-174539_18,class_20220819-174539_18,UXZn-cyEq
tch_20220819-174539_19,class_20220819-174539_19,vB2K-gNps
tch_20220819-174539_20,class_20220819-174539_20,2y4Y-Ry42
tch_20220819-174539_21,class_20220819-174539_21,dbVM-Yc97
tch_20220819-174539_22,class_20220819-174539_22,tGyJ-re8c
tch_20220819-174539_23,class_20220819-174539_23,y2XZ-w3TC
tch_20220819-174539_24,class_20220819-174539_24,hYbG-uLtG
tch_20220819-174539_25,class_20220819-174539_25,P9up-VEpC
tch_20220819-174539_26,class_20220819-174539_26,qLFe-GgLq
tch_20220819-174539_27,class_20220819-174539_27,a2zw-e94V
tch_20220819-174539_28,class_20220819-174539_28,2u2r-P9y7
tch_20220819-174539_29,class_20220819-174539_29,U9Jn-aVCd
tch_20220819-174539_30,class_20220819-174539_30,QdxA-93uH
tch_20220819-174539_31,class_20220819-174539_31,hv6b-7f6K
tch_20220819-174539_32,class_20220819-174539_32,z7YW-oNd8
tch_20220819-174539_33,class_20220819-174539_33,jRyt-U2JA
tch_20220819-174539_34,class_20220819-174539_34,B2hV-krC6
tch_20220819-174539_35,class_20220819-174539_35,Uytm-aKbM
tch_20220819-174539_36,class_20220819-174539_36,v4D3-v629
tch_20220819-174539_37,class_20220819-174539_37,KX2z-A98o
tch_20220819-174539_38,class_20220819-174539_38,a637-29YC
tch_20220819-174539_39,class_20220819-174539_39,A94i-4Qj9
tch_20220819-174539_40,class_20220819-174539_40,Tio8-xgyQ
tch_20220819-174539_41,class_20220819-174539_41,u3Xm-UH87
tch_20220819-174539_42,class_20220819-174539_42,itFG-YzHd
tch_20220819-174539_43,class_20220819-174539_43,a39D-Q42V
tch_20220819-174539_44,class_20220819-174539_44,92JX-2FwN
tch_20220819-174539_45,class_20220819-174539_45,M2Ks-GfQx
tch_20220819-174539_46,class_20220819-174539_46,W2FE-d4rX
tch_20220819-174539_47,class_20220819-174539_47,vwvq-mPXk
tch_20220819-174539_48,class_20220819-174539_48,2Lge-3pNa
tch_20220819-174539_49,class_20220819-174539_49,uak8-Hv74
tch_20220819-174539_50,class_20220819-174539_50,6u4T-xTG3
