tchextuserid,studentuserid1,stdextuserid,classcode
tch_20220818-151939_1,2258bec8-5480-4438-93e4-ae1ebb3509a6,std_1660849564032_1,PbEm-FWgw
tch_20220818-151939_2,cfbae60a-d7e4-4045-b5f6-8683541f716c,std_1660849580066_2,KQWB-y7BN
tch_20220818-151939_1,554ffa18-532d-4456-a0a8-ab703302fe49,std_1660849592422_1,PbEm-FWgw
tch_20220818-151939_3,21548b97-8d97-445d-b09f-189582558610,std_1660849596081_3,RZpH-j3mk
tch_20220818-151939_2,7a2fa3b7-15c0-4206-8681-7d198560012a,std_1660849602483_2,KQWB-y7BN
tch_20220818-151939_4,8be449fe-9ccf-4ed1-8e58-f8228143132e,std_1660849612112_4,YPy7-4ohj
tch_20220818-151939_1,af9bed89-77e8-4178-906f-ee629dd7d44b,std_1660849618725_1,PbEm-FWgw
tch_20220818-151939_3,1c230bbf-2941-4ca8-9efd-fa8e1fb6870f,std_1660849622173_3,RZpH-j3mk
tch_20220818-151939_5,aae2264c-87f8-4417-a60e-983300e79d53,std_1660849628125_5,b7D8-FhkD
tch_20220818-151939_2,f6cc4e7c-4c00-4005-9e1d-c9b60c646b1d,std_1660849628957_2,KQWB-y7BN
tch_20220818-151939_4,1c16fb17-a8ce-4bd8-a974-5806574e63ed,std_1660849635290_4,YPy7-4ohj
tch_20220818-151939_1,f533d145-4477-466e-8b86-dad00e8fb007,std_1660849641922_1,PbEm-FWgw
tch_20220818-151939_6,3da18466-7dd7-4494-ba54-97c06d7ceb7d,std_1660849644126_6,64zT-9nB3
tch_20220818-151939_3,721819d7-d8d5-4db3-b9cf-71fe086ba46e,std_1660849645443_3,RZpH-j3mk
tch_20220818-151939_5,f9a01ab3-decb-4bec-ab3e-21eb998e000f,std_1660849655845_5,b7D8-FhkD
tch_20220818-151939_7,f42f1d9f-71b4-4b0b-b38f-a21f2be60fb5,std_1660849660143_7,9b8c-stiL
tch_20220818-151939_2,d4d75e8c-2132-44ed-a9e8-11f2cc98a8f2,std_1660849659002_2,KQWB-y7BN
tch_20220818-151939_4,6928d3f1-47cd-48c2-b323-db57349a7c21,std_1660849663621_4,YPy7-4ohj
tch_20220818-151939_6,aeb170a1-ce40-4275-9ecc-91fbc0482fc0,std_1660849670529_6,64zT-9nB3
tch_20220818-151939_3,ce148ba2-16e2-4acb-9727-3d3377211caa,std_1660849670989_3,RZpH-j3mk
tch_20220818-151939_8,9d4e0b2b-ed2c-4096-a5ff-0962e693b28e,std_1660849676144_8,9mBi-Nqt2
tch_20220818-151939_5,7d3b97d1-1455-4bb4-ab4e-61e7584c8f09,std_1660849682447_5,b7D8-FhkD
tch_20220818-151939_7,432aaefd-5f0f-4020-beb7-ea03626e64a2,std_1660849685866_7,9b8c-stiL
tch_20220818-151939_4,9cd7bc79-1953-4ebb-9636-db803a53c508,std_1660849690427_4,YPy7-4ohj
tch_20220818-151939_9,a6e73d95-3fcc-4e92-b6b3-c6eaa0ff60d1,std_1660849692159_9,UWR7-mn9t
tch_20220818-151939_6,8b05bd83-0e21-4d5a-8795-4e756c9b69be,std_1660849697433_6,64zT-9nB3
tch_20220818-151939_8,75d34cdd-0b42-432d-894b-e28649bc3a6d,std_1660849706032_8,9mBi-Nqt2
