tchextuserid,classtitle,classcode
tch_20220909-192050_21,class_20220909-192050_21,h97Y-gB8n
tch_20220909-192050_22,class_20220909-192050_22,fomW-JW6s
tch_20220909-192050_23,class_20220909-192050_23,D48U-vWhz
tch_20220909-192050_24,class_20220909-192050_24,jg6R-6RAT
tch_20220909-192050_25,class_20220909-192050_25,4naD-e7NL
tch_20220909-192050_26,class_20220909-192050_26,K6Gt-P2nR
tch_20220909-192050_27,class_20220909-192050_27,j6G2-3GBQ
tch_20220909-192050_28,class_20220909-192050_28,vf4A-4AJB
tch_20220909-192050_29,class_20220909-192050_29,9bqs-ZCVK
tch_20220909-192050_30,class_20220909-192050_30,hg9R-2W24
tch_20220909-192050_31,class_20220909-192050_31,3yqa-eac2
tch_20220909-192050_32,class_20220909-192050_32,gij7-jT3x
tch_20220909-192050_33,class_20220909-192050_33,vFTP-im9o
tch_20220909-192050_34,class_20220909-192050_34,HDC7-L46F
tch_20220909-192050_35,class_20220909-192050_35,GY6M-2cv2
tch_20220909-192050_36,class_20220909-192050_36,FN9E-2wr8
tch_20220909-192050_37,class_20220909-192050_37,Pov3-6Hg6
tch_20220909-192050_38,class_20220909-192050_38,m946-vn3Q
tch_20220909-192050_39,class_20220909-192050_39,NzN2-Vz68
tch_20220909-192050_40,class_20220909-192050_40,g7MH-fUxs
