extuserid,class,classcode,bundleCount
tch_20220910-160311_166,Perf_class_20220910-160311_166,yq8p-ck8F,0
tch_20220910-160311_165,Perf_class_20220910-160311_165,672V-Hk9b,0
tch_20220910-160311_167,Perf_class_20220910-160311_167,8R6V-6UMB,0
tch_20220910-160311_168,Perf_class_20220910-160311_168,PJRA-Jrg8,0
tch_20220910-160311_170,Perf_class_20220910-160311_170,c7ZG-4G79,0
tch_20220910-160311_169,Perf_class_20220910-160311_169,67f2-HZg4,0
tch_20220910-160311_171,Perf_class_20220910-160311_171,4kw7-PdRW,0
tch_20220910-160311_173,Perf_class_20220910-160311_173,Tax8-6mU7,0
tch_20220910-160311_172,Perf_class_20220910-160311_172,Jq43-qm26,0
tch_20220910-160311_174,Perf_class_20220910-160311_174,deBH-aknF,0
tch_20220910-160311_176,Perf_class_20220910-160311_176,hEyp-rmxz,1
tch_20220910-160311_175,Perf_class_20220910-160311_175,4rz9-f48s,1
tch_20220910-160311_179,Perf_class_20220910-160311_179,Pc6X-2jUW,1
tch_20220910-160311_177,Perf_class_20220910-160311_177,LFiz-Nxmu,1
tch_20220910-160311_178,Perf_class_20220910-160311_178,8dkG-9rjv,1
tch_20220910-160311_181,Perf_class_20220910-160311_181,2uFK-6H9g,1
tch_20220910-160311_180,Perf_class_20220910-160311_180,MT8h-H7vk,1
tch_20220910-160311_182,Perf_class_20220910-160311_182,hfur-i87m,1
tch_20220910-160311_183,Perf_class_20220910-160311_183,bEx8-y3NT,1
tch_20220910-160311_184,Perf_class_20220910-160311_184,3424-3ohg,1
tch_20220910-160311_185,Perf_class_20220910-160311_185,Azt6-x729,2
tch_20220910-160311_187,Perf_class_20220910-160311_187,BG3d-RMom,2
tch_20220910-160311_186,Perf_class_20220910-160311_186,gqT4-pY64,2
tch_20220910-160311_188,Perf_class_20220910-160311_188,9nRC-23wd,2
tch_20220910-160311_191,Perf_class_20220910-160311_191,8HZs-NnCi,2
tch_20220910-160311_189,Perf_class_20220910-160311_189,fu24-Pvup,2
tch_20220910-160311_190,Perf_class_20220910-160311_190,hdme-7QqD,2
tch_20220910-160311_192,Perf_class_20220910-160311_192,9f4g-fJHc,2
tch_20220910-160311_193,Perf_class_20220910-160311_193,46jk-7UEZ,2
tch_20220910-160311_194,Perf_class_20220910-160311_194,eThD-W9Gc,2
tch_20220910-160311_195,Perf_class_20220910-160311_195,4BxM-pUpo,2
tch_20220910-160311_197,Perf_class_20220910-160311_197,mM7p-34hp,2
tch_20220910-160311_196,Perf_class_20220910-160311_196,mBx4-rYci,2
tch_20220910-160311_198,Perf_class_20220910-160311_198,UG64-M9pz,2
tch_20220910-160311_199,Perf_class_20220910-160311_199,H4eh-pB24,2
tch_20220910-160311_200,Perf_class_20220910-160311_200,4Xg2-94v8,2
tch_20220910-172501_1,Perf_class_20220910-172501_1,9NQa-8xm8,2
tch_20220910-172501_3,Perf_class_20220910-172501_3,26oV-ZB6A,2
tch_20220910-172501_2,Perf_class_20220910-172501_2,Kn9w-YhB2,2
tch_20220910-172501_7,Perf_class_20220910-172501_7,sJ4i-3AYe,2
tch_20220910-172501_9,Perf_class_20220910-172501_9,gnVk-PGte,2
tch_20220910-172501_8,Perf_class_20220910-172501_8,d7ia-46Av,2
tch_20220910-172501_10,Perf_class_20220910-172501_10,uJCd-Hw6n,3
tch_20220910-172501_12,Perf_class_20220910-172501_12,KBmK-W6d4,3
tch_20220910-172501_11,Perf_class_20220910-172501_11,ry43-aDbh,3
tch_20220910-172501_13,Perf_class_20220910-172501_13,7sDG-3s2x,3
tch_20220910-172501_15,Perf_class_20220910-172501_15,69sZ-Rn6P,3
tch_20220910-172501_14,Perf_class_20220910-172501_14,3e7u-ZnNs,4
tch_20220910-172501_16,Perf_class_20220910-172501_16,GibH-GTEf,4
tch_20220910-172501_17,Perf_class_20220910-172501_17,B3WK-2itx,4
tch_20220910-172501_18,Perf_class_20220910-172501_18,pabj-vkBq,0
tch_20220910-172501_20,Perf_class_20220910-172501_20,4WuM-Fvf6,0
tch_20220910-172501_19,Perf_class_20220910-172501_19,q3ay-sh2D,0
tch_20220910-172501_21,Perf_class_20220910-172501_21,EZpQ-hd7v,0
tch_20220910-172501_22,Perf_class_20220910-172501_22,eHDB-rQW8,0
tch_20220910-172501_23,Perf_class_20220910-172501_23,bCB8-gT7W,0
tch_20220910-172501_25,Perf_class_20220910-172501_25,PtMD-6nHR,0
tch_20220910-172501_24,Perf_class_20220910-172501_24,V62t-Gy2Y,0
tch_20220910-172501_26,Perf_class_20220910-172501_26,juJV-4Q6V,0
tch_20220910-172501_27,Perf_class_20220910-172501_27,BvhF-768D,0
tch_20220910-172501_28,Perf_class_20220910-172501_28,m37H-232J,1
tch_20220910-172501_29,Perf_class_20220910-172501_29,iTD8-fr62,1
tch_20220910-172501_30,Perf_class_20220910-172501_30,VJkd-nw4n,1
tch_20220910-172501_32,Perf_class_20220910-172501_32,A7Rn-p7i8,1
tch_20220910-172501_31,Perf_class_20220910-172501_31,4G6L-j6sw,1
tch_20220910-172501_33,Perf_class_20220910-172501_33,UiuB-J83e,1
tch_20220910-172501_34,Perf_class_20220910-172501_34,8ad4-tsNp,1
tch_20220910-172501_35,Perf_class_20220910-172501_35,nL23-RVcu,1
tch_20220910-172501_37,Perf_class_20220910-172501_37,F2Lq-y8c9,1
tch_20220910-172501_36,Perf_class_20220910-172501_36,s9L9-dUkc,1
tch_20220910-172501_40,Perf_class_20220910-172501_40,RWKR-9HTE,2
tch_20220910-172501_38,Perf_class_20220910-172501_38,PHf2-wX3H,2
tch_20220910-172501_39,Perf_class_20220910-172501_39,KR49-47i8,2
tch_20220910-172501_41,Perf_class_20220910-172501_41,H687-pJKs,2
tch_20220910-172501_43,Perf_class_20220910-172501_43,zyL8-AhBU,2
tch_20220910-172501_44,Perf_class_20220910-172501_44,uq9f-Zx3Q,2
tch_20220910-172501_42,Perf_class_20220910-172501_42,No78-98uG,2
tch_20220910-172501_45,Perf_class_20220910-172501_45,9Vfc-98RC,2
tch_20220910-172501_46,Perf_class_20220910-172501_46,dC7i-yPp2,2
tch_20220910-172501_47,Perf_class_20220910-172501_47,hM49-besu,2
tch_20220910-172501_48,Perf_class_20220910-172501_48,2GC7-e6sP,2
tch_20220910-172501_52,Perf_class_20220910-172501_52,L8Rn-HEpo,2
tch_20220910-172501_53,Perf_class_20220910-172501_53,zohZ-TqVB,2
tch_20220910-172501_54,Perf_class_20220910-172501_54,xYkG-g947,2
tch_20220910-172501_57,Perf_class_20220910-172501_57,W9wG-Y3WG,2
tch_20220910-172501_58,Perf_class_20220910-172501_58,3r8T-2r8E,2
tch_20220910-172501_59,Perf_class_20220910-172501_59,X8me-vX7Q,2
tch_20220910-172501_60,Perf_class_20220910-172501_60,7vF6-7376,2
tch_20220910-172501_62,Perf_class_20220910-172501_62,VAoW-jfu9,2
tch_20220910-172501_61,Perf_class_20220910-172501_61,gF9e-j6zc,2
tch_20220910-172501_63,Perf_class_20220910-172501_63,Q4R4-Y3XM,2
tch_20220910-172501_65,Perf_class_20220910-172501_65,m3aU-7jsD,2
tch_20220910-172501_64,Perf_class_20220910-172501_64,9f8R-jenq,3
tch_20220910-172501_66,Perf_class_20220910-172501_66,mPxJ-uEAu,3
tch_20220910-172501_67,Perf_class_20220910-172501_67,4Eud-E3y6,3
tch_20220910-172501_68,Perf_class_20220910-172501_68,mjWe-Hs87,3
tch_20220910-172501_69,Perf_class_20220910-172501_69,2jTD-V7T8,3
tch_20220910-172501_74,Perf_class_20220910-172501_74,2knU-8x8r,4
tch_20220910-172501_72,Perf_class_20220910-172501_72,c8sy-zkvC,4
tch_20220910-172501_73,Perf_class_20220910-172501_73,2PVs-KmHc,4
tch_20220910-172501_75,Perf_class_20220910-172501_75,FDFJ-2rZ6,0
tch_20220910-172501_76,Perf_class_20220910-172501_76,kedk-yRtq,0
tch_20220910-172501_77,Perf_class_20220910-172501_77,C74Q-Tkhs,0
tch_20220910-172501_78,Perf_class_20220910-172501_78,X343-rq4T,0
tch_20220910-172501_79,Perf_class_20220910-172501_79,bxfv-HZQh,0
tch_20220910-172501_81,Perf_class_20220910-172501_81,FB2v-kuVn,0
tch_20220910-172501_80,Perf_class_20220910-172501_80,AYn8-R2Ug,0
tch_20220910-172501_82,Perf_class_20220910-172501_82,Cc9h-a27p,0
tch_20220910-172501_83,Perf_class_20220910-172501_83,i2UQ-J3Gy,0
tch_20220910-172501_85,Perf_class_20220910-172501_85,2bY3-zZcK,0
tch_20220910-172501_84,Perf_class_20220910-172501_84,2Uvp-nycE,1
tch_20220910-172501_87,Perf_class_20220910-172501_87,aTGD-487a,1
tch_20220910-172501_86,Perf_class_20220910-172501_86,7s3z-h9Yh,1
tch_20220910-172501_88,Perf_class_20220910-172501_88,Dx23-fGPk,1
tch_20220910-172501_89,Perf_class_20220910-172501_89,T9qm-T96J,1
tch_20220910-172501_91,Perf_class_20220910-172501_91,tArh-UKC7,1
tch_20220910-172501_90,Perf_class_20220910-172501_90,8sGY-Nwf3,1
tch_20220910-172501_92,Perf_class_20220910-172501_92,KPaY-Kr4t,1
