extuserid,classcode,classid,invid,tchextuserid
t145_1661952414035_8,L6NH-d42Q,acb9cdf9-f96a-4464-b8d6-0dbbb2920b61,be15b3fc-e23e-42d1-99d6-7cc2efb9629f,t245_20220831-185211_8
t145_1661952415287_26,YkTK-PM7A,42ac8991-4fd7-467f-8984-9278dc8b9ac8,b2cd1819-92d8-4702-8b57-a900655b5788,t245_20220831-185211_26
t145_1661952415493_17,3rXu-f4Jx,a7ddde40-2484-4644-805f-d74c718e2dd7,f21dfaa9-9841-4156-a700-d13394f0226f,t245_20220831-185211_17
t145_1661952416111_15,QoFo-8dKW,66d33a06-a624-4260-b64d-42a8b3ec1eba,4196ee51-c112-48f6-a0d5-58701a411232,t245_20220831-185211_15
t145_1661952416814_22,CZ73-6V4A,2dae4f38-4ca0-431e-b864-29200fcfad95,c1f4679c-1d6d-4f48-9d89-66dc62d688fb,t245_20220831-185211_22
t145_1661952417508_5,c947-wCdi,e84708b9-1408-49ef-baac-1874efe19a76,950f2620-57b6-4752-b488-8e33cb20db9f,t245_20220831-185211_5
t145_1661952415411_6,wLKs-Jgs6,71b66cdb-2316-4571-8915-76540b37483d,10f73a4a-5d79-4dfd-ac03-f51848958eb5,t245_20220831-185211_6
t145_1661952418073_14,6i9R-zaMi,29ec1744-e3e6-4cb3-be28-222748ea9cfa,c2f36762-ca58-4dd7-b206-5241ea04aa55,t245_20220831-185211_14
t145_1661952413619_12,Y6Dc-oBFm,540cf080-dee8-482c-b9b6-0eaa32d88edc,a9c15dfb-6045-48b1-ab6a-adf20e31360a,t245_20220831-185211_12
t145_1661952418214_1,gQm6-jKyT,db29600f-6c4e-418d-ab45-99d1811a250a,4a07c0ea-fdd0-439a-ac1c-258898315bca,t245_20220831-185211_1
t145_1661952417748_20,8TRG-6pew,1e066fdf-854f-4305-9e8f-e01988235898,0f8d7dc1-5652-41cb-9d88-f8b11dc7901d,t245_20220831-185211_20
t145_1661952421252_24,eKPM-Bi9c,a6f80de3-da50-49dd-a3f9-295ed6298c5b,6e2a9e42-667f-4f15-bdea-da95197f7b5f,t245_20220831-185211_24
t145_1661952423551_4,Ezak-jb9C,15bee409-1cfa-4db1-909f-384b7ee74270,215925d8-091b-42e3-a552-b94d2f1bc7d4,t245_20220831-185211_4
t145_1661952417222_13,tNeN-s7DC,09d06b2e-f185-48c1-849b-4735bcc0a056,06b9a54d-c06e-46d8-aad1-02163bee1de1,t245_20220831-185211_13
t145_1661952424598_2,Kxez-3X8C,87061958-c63a-4ce1-8d10-30896bc49c61,defb030c-8eec-48fa-b5c6-23ac2cd17e5b,t245_20220831-185211_2
t145_1661952421245_9,brGz-eG3z,528ff246-c405-4135-810d-955af1e96cd5,76297f23-e82c-460f-b142-68c07ad15993,t245_20220831-185211_9
t145_1661952419787_21,RFxC-7f79,a9fe763d-4e9f-4fd5-80d0-105cb9c9f059,777565ad-5aa8-47fa-808c-e9525c39da7e,t245_20220831-185211_21
t145_1661952425461_7,zeum-sAi3,d5381122-90d5-4332-9fcb-295b19ed1647,24555732-3f4e-4209-b193-56d5a85cb8be,t245_20220831-185211_7
t145_1661952427202_8,L6NH-d42Q,acb9cdf9-f96a-4464-b8d6-0dbbb2920b61,7b5e527a-6b3b-4497-a76a-41545ffff1f3,t245_20220831-185211_8
t145_1661952422099_16,Ddqu-7974,6e65d37c-8981-4924-b6c0-d1a4ce11eba7,10edac5c-7e94-4aaf-89f4-65b25c4c21cb,t245_20220831-185211_16
t145_1661952425675_25,zYVf-VnCA,ceb92a93-0192-45bf-87b4-9899f92a930e,741bfbee-6d82-460b-9118-53e3bf3b73f9,t245_20220831-185211_25
t145_1661952428564_15,QoFo-8dKW,66d33a06-a624-4260-b64d-42a8b3ec1eba,f4ab6c8a-5c4e-4dfc-9ab2-c47552e01618,t245_20220831-185211_15
t145_1661952429070_5,c947-wCdi,e84708b9-1408-49ef-baac-1874efe19a76,a3788af6-f449-4899-9cc8-55583266f55b,t245_20220831-185211_5
t145_1661952429560_6,wLKs-Jgs6,71b66cdb-2316-4571-8915-76540b37483d,1716639a-6eb7-4110-88b0-19a642f52f9d,t245_20220831-185211_6
t145_1661952429062_22,CZ73-6V4A,2dae4f38-4ca0-431e-b864-29200fcfad95,5d41cd53-1a96-4915-9bfc-db9fd53b6203,t245_20220831-185211_22
t145_1661952422952_23,2GpB-7tui,348a557e-add8-4a94-82b4-0fa25e3f53b9,d0e0ff61-d9d2-45e8-8de1-1a145a77ae9d,t245_20220831-185211_23
t145_1661952424954_3,96H8-U2y3,ed124688-acd8-4c92-87bf-acfc998a5292,1b17899d-6af1-4758-87bb-8656e9ecc819,t245_20220831-185211_3
t145_1661952426794_18,87j2-q3UR,2188de95-7ada-4348-bfc8-b26b590e8f0b,c914fe42-a484-4bbb-8778-569a74251177,t245_20220831-185211_18
t145_1661952424912_11,3YaF-oAQ7,33dcd2af-9f6c-4855-8c65-aba6d7507273,7a030050-8854-4411-b831-5ad4da354e1f,t245_20220831-185211_11
t145_1661952427576_17,3rXu-f4Jx,a7ddde40-2484-4644-805f-d74c718e2dd7,0ea557a6-5680-4664-a7cb-5b97dd972699,t245_20220831-185211_17
t145_1661952426839_19,vA3w-o2op,51fc5c92-b089-44db-a470-c915dd4167ae,5470c10c-4257-4d11-9d5e-2124d8b4a5fe,t245_20220831-185211_19
t145_1661952426843_10,nGK6-49Ww,79c1e7b1-8d45-4f5b-831e-a6ac3fd4db1d,0c301e2a-c8e7-4876-9680-c4ecdb8ee657,t245_20220831-185211_10
t145_1661952427398_26,YkTK-PM7A,42ac8991-4fd7-467f-8984-9278dc8b9ac8,8b66abab-1bb0-4ada-bdba-b6c0e05d99bc,t245_20220831-185211_26
t145_1661952432530_1,gQm6-jKyT,db29600f-6c4e-418d-ab45-99d1811a250a,c1069568-9f65-4990-bcb3-4b030c2db0bd,t245_20220831-185211_1
t145_1661952430834_12,Y6Dc-oBFm,540cf080-dee8-482c-b9b6-0eaa32d88edc,28576422-c479-467d-8a26-d5c9b5d2ca2b,t245_20220831-185211_12
t145_1661952435201_2,Kxez-3X8C,87061958-c63a-4ce1-8d10-30896bc49c61,7de0cd4e-75e5-4159-b271-4be8a86242fb,t245_20220831-185211_2
t145_1661952433817_24,eKPM-Bi9c,a6f80de3-da50-49dd-a3f9-295ed6298c5b,ebf1d829-183b-467b-9918-606aabe5f6b7,t245_20220831-185211_24
t145_1661952429780_14,6i9R-zaMi,29ec1744-e3e6-4cb3-be28-222748ea9cfa,fd7ec976-a2fc-4fea-b193-d7fc77a91584,t245_20220831-185211_14
t145_1661952435187_13,tNeN-s7DC,09d06b2e-f185-48c1-849b-4735bcc0a056,19f62316-12f0-47d2-9520-04d0ed6cb0f5,t245_20220831-185211_13
t145_1661952433678_20,8TRG-6pew,1e066fdf-854f-4305-9e8f-e01988235898,cfdb8f80-7520-470f-93d6-b9d075243068,t245_20220831-185211_20
t145_1661952435153_4,Ezak-jb9C,15bee409-1cfa-4db1-909f-384b7ee74270,d86d9765-d860-4665-9599-26602a784ad6,t245_20220831-185211_4
t145_1661952437092_21,RFxC-7f79,a9fe763d-4e9f-4fd5-80d0-105cb9c9f059,c828796f-89f4-4f90-bb25-982d1e16b205,t245_20220831-185211_21
t145_1661952438031_25,zYVf-VnCA,ceb92a93-0192-45bf-87b4-9899f92a930e,b8e39932-fdc6-4bd4-93d3-ce28007e1eb2,t245_20220831-185211_25
t145_1661952437714_16,Ddqu-7974,6e65d37c-8981-4924-b6c0-d1a4ce11eba7,33f7dd1f-90e9-4fc1-9923-f687bdc8ae87,t245_20220831-185211_16
t145_1661952440570_22,CZ73-6V4A,2dae4f38-4ca0-431e-b864-29200fcfad95,4eb94336-62f0-4a64-9868-60ac44417a48,t245_20220831-185211_22
t145_1661952440787_23,2GpB-7tui,348a557e-add8-4a94-82b4-0fa25e3f53b9,62c67045-ab05-4eb9-b16c-8486d740c7e5,t245_20220831-185211_23
t145_1661952437247_7,zeum-sAi3,d5381122-90d5-4332-9fcb-295b19ed1647,04420663-fcff-4007-9367-164978f5a4ac,t245_20220831-185211_7
t145_1661952439386_15,QoFo-8dKW,66d33a06-a624-4260-b64d-42a8b3ec1eba,7632bde7-6e4f-4771-9559-30b15e169c60,t245_20220831-185211_15
