stdextid,groupid,tchextid
std_1660816394443_1,25086fb3-8c60-4c27-88d4-2ea1e2f49be7,tch_20220818-151939_1
std_1660816525280_1,2f01e458-a638-4f26-a93d-e2927eb888dc,tch_20220818-151939_1
std_1660816430420_2,baacce4a-3415-4d4c-b788-30c6b3bfc9ec,tch_20220818-151939_2
std_1660816653305_1,c893d3e0-cc6b-4631-8795-49805f259f11,tch_20220818-151939_1
std_1660816559038_2,2ff75610-d357-403a-bb9d-18b95799ab4e,tch_20220818-151939_2
std_1660816695212_2,c3fc74f0-6144-4c28-8669-560e1f7b5828,tch_20220818-151939_2
std_1660816477857_3,f23fec93-d1b7-45b2-965b-4dd1f2b11f00,tch_20220818-151939_3
std_1660816622726_3,518ec855-fc12-42a5-ae70-ac9bc9758011,tch_20220818-151939_3
std_1660816513724_4,48f83ab9-bbf5-4acc-8674-7dd925778510,tch_20220818-151939_4
NA,9690cdc4-1bb5-4932-9746-84fe85e3ccf4,3a5ddecc38dd41e691c0ac9c30116db5
std_1660816744015_3,73ed6ae8-acd1-47e5-8b54-d05a0cc457d0,tch_20220818-151939_3
std_1660816654860_4,f5f10ca3-b851-403b-b224-39428b82c2f9,tch_20220818-151939_4
std_1660816553892_5,02e11fe6-4d4d-49d4-8a4b-aa1911ed2797,tch_20220818-151939_5
std_1660816790471_4,cb9c8e77-f0a9-435d-aaeb-f817a758427c,tch_20220818-151939_4
std_1660816692904_5,d60c6d7c-eee8-4232-a0cb-1bffcdb06670,tch_20220818-151939_5
std_1660816594407_6,8d6cc4a1-9378-4ada-b2c7-8a13bdcd291f,tch_20220818-151939_6
std_1660816832896_5,0c166b44-726b-465a-9285-fcb4ff711f17,tch_20220818-151939_5
std_1660816724136_6,265152e8-cbe8-4013-abf0-1118feb1fd0d,tch_20220818-151939_6
std_1660816638486_7,dac09849-0d59-43c3-8b8f-45910fbc0777,tch_20220818-151939_7
std_1660816857222_6,9db147b0-a39b-4d35-ab26-3935edd8f9c4,tch_20220818-151939_6
std_1660816769945_7,92e9e306-b490-4464-8a98-780d9f852f77,tch_20220818-151939_7
std_1660816672043_8,06a477d5-424f-44ba-9be3-7c23ba38a6d1,tch_20220818-151939_8
std_1660816903641_7,fb7508cf-513f-4f8c-abab-4de336e16102,tch_20220818-151939_7
std_1660816807260_8,0af8bff9-c685-41f1-9331-13f07f4a2240,tch_20220818-151939_8
std_1660816935081_8,b9757ca1-e0a1-4247-b7b6-2ab3c1120da4,tch_20220818-151939_8
std_1660816723138_9,1c9502a8-200e-4bac-b1bd-3f67f88b17d6,tch_20220818-151939_9
std_1660816855869_9,c74063cd-a300-4e56-a0dd-2ae1a888884c,tch_20220818-151939_9
std_1660816762597_10,f9e0b6db-1398-4dc9-b149-4d97d5403113,tch_20220818-151939_10
std_1660817001624_9,1c4807e1-ed41-47d6-973e-42af8cba1895,tch_20220818-151939_9
std_1660816785675_11,39bd394c-37b3-4435-8ac2-1c7644b18150,tch_20220818-151939_11
std_1660816894188_10,a8da6cfc-69b0-4501-9177-e2c3f3ddba48,tch_20220818-151939_10
std_1660816922171_11,d914865c-519e-4b4a-af19-8ae425144e27,tch_20220818-151939_11
std_1660817045638_10,c84ecbb8-3b4e-47c8-b34e-6a5b5fd83413,tch_20220818-151939_10
std_1660816838908_12,d62c116b-76ce-48b5-bf54-5f8551ccadf3,tch_20220818-151939_12
std_1660817059085_11,5fe994d6-d9c9-4244-99c2-26549fd8736f,tch_20220818-151939_11
std_1660816976365_12,648056da-9b46-4c71-95d9-bc8a89849781,tch_20220818-151939_12
std_1660816870697_13,5d9e54c9-d6d6-4473-8292-6b6006b2ff23,tch_20220818-151939_13
std_1660817105819_12,8f7f1dbc-46e7-42bd-bd98-5584e5611517,tch_20220818-151939_12
std_1660817005717_13,ab2bfbf7-4fa8-4444-8ddc-858cfbf1ad08,tch_20220818-151939_13
std_1660816918306_14,59e4e141-f161-4d40-b669-f21a68dec1aa,tch_20220818-151939_14
std_1660817150482_13,11d6c278-b0e0-4ed6-9b84-8f4afdad948b,tch_20220818-151939_13
std_1660817045439_14,592f4d2a-8bf5-4244-b9a8-220262910880,tch_20220818-151939_14
