extuserid,classcode,category,pe_category,attempt_end_index,category_type
std_n68P-V68F_1732012190244_8,n68P-V68F,L1,l1pe,3,L
std_n68P-V68F_1732012192376_8,n68P-V68F,L1,l1pe,3,L
std_n68P-V68F_1732012193765_8,n68P-V68F,L1,l1pe,3,L
std_n68P-V68F_1732012195386_8,n68P-V68F,L1,l1pe,3,L
std_ptGQ-Z7t3_1732012198881_9,ptGQ-Z7t3,L1,l1pe,3,L
std_ptGQ-Z7t3_1732012200277_9,ptGQ-Z7t3,L1,l1pe,3,L
std_ptGQ-Z7t3_1732012201729_9,ptGQ-Z7t3,L1,l1pe,3,L
std_ptGQ-Z7t3_1732012203769_9,ptGQ-Z7t3,L1,l1pe,3,L
std_83AQ-j6Wa_1732012216727_10,83AQ-j6Wa,L1,l1pe,3,L
std_83AQ-j6Wa_1732012218838_10,83AQ-j6Wa,L1,l1pe,3,L
std_83AQ-j6Wa_1732012220617_10,83AQ-j6Wa,L1,l1pe,3,L
std_83AQ-j6Wa_1732012222439_10,83AQ-j6Wa,L1,l1pe,3,L
std_qV7Q-72hi_1732012254914_11,qV7Q-72hi,L1,l1pe,3,L
std_qV7Q-72hi_1732012256375_11,qV7Q-72hi,L1,l1pe,3,L
std_qV7Q-72hi_1732012258363_11,qV7Q-72hi,L1,l1pe,3,L
std_qV7Q-72hi_1732012260678_11,qV7Q-72hi,L1,l1pe,3,L
std_ksjm-Z3eA_1732012268113_12,ksjm-Z3eA,L1,l1pe,3,L
std_ksjm-Z3eA_1732012269601_12,ksjm-Z3eA,L1,l1pe,3,L
std_ksjm-Z3eA_1732012271564_12,ksjm-Z3eA,L1,l1pe,3,L
std_ksjm-Z3eA_1732012273328_12,ksjm-Z3eA,L1,l1pe,3,L
std_2F9K-cr7V_1732012297469_13,2F9K-cr7V,L1,l1pe,3,L
std_2F9K-cr7V_1732012299372_13,2F9K-cr7V,L1,l1pe,3,L
std_2F9K-cr7V_1732012300841_13,2F9K-cr7V,L1,l1pe,3,L
std_2F9K-cr7V_1732012303179_13,2F9K-cr7V,L1,l1pe,3,L
std_xtUR-QPYD_1732012316688_14,xtUR-QPYD,L1,l1pe,3,L
std_xtUR-QPYD_1732012318633_14,xtUR-QPYD,L1,l1pe,3,L
std_68gp-xqon_1732012320971_15,68gp-xqon,L1,l1pe,3,L
std_xtUR-QPYD_1732012320507_14,xtUR-QPYD,L1,l1pe,3,L
std_xtUR-QPYD_1732012322786_14,xtUR-QPYD,L1,l1pe,3,L
std_68gp-xqon_1732012322755_15,68gp-xqon,L1,l1pe,3,L
std_68gp-xqon_1732012325155_15,68gp-xqon,L1,l1pe,3,L
std_68gp-xqon_1732012327102_15,68gp-xqon,L1,l1pe,3,L
std_63yT-383X_1732012344394_16,63yT-383X,L1,l1pe,3,L
std_63yT-383X_1732012345776_16,63yT-383X,L1,l1pe,3,L
std_63yT-383X_1732012347474_16,63yT-383X,L1,l1pe,3,L
std_63yT-383X_1732012349293_16,63yT-383X,L1,l1pe,3,L
std_Y67V-9jpM_1732012360733_17,Y67V-9jpM,L1,l1pe,3,L
std_Y67V-9jpM_1732012363032_17,Y67V-9jpM,L1,l1pe,3,L
std_Y67V-9jpM_1732012364467_17,Y67V-9jpM,L1,l1pe,3,L
std_Y67V-9jpM_1732012366458_17,Y67V-9jpM,L1,l1pe,3,L
std_8F34-f3qY_1732012380799_18,8F34-f3qY,L1,l1pe,3,L
std_8F34-f3qY_1732012382773_18,8F34-f3qY,L1,l1pe,3,L
std_8F34-f3qY_1732012385121_18,8F34-f3qY,L1,l1pe,3,L
std_8F34-f3qY_1732012386867_18,8F34-f3qY,L1,l1pe,3,L
std_cfLp-bGV8_1732012399687_19,cfLp-bGV8,L1,l1pe,3,L
std_cfLp-bGV8_1732012401423_19,cfLp-bGV8,L1,l1pe,3,L
std_cfLp-bGV8_1732012403653_19,cfLp-bGV8,L1,l1pe,3,L
std_cfLp-bGV8_1732012406736_19,cfLp-bGV8,L1,l1pe,3,L
std_3dEg-HU2C_1732012419097_20,3dEg-HU2C,L1,l1pe,3,L
std_3dEg-HU2C_1732012421293_20,3dEg-HU2C,L1,l1pe,3,L
std_3dEg-HU2C_1732012422909_20,3dEg-HU2C,L1,l1pe,3,L
std_3dEg-HU2C_1732012424437_20,3dEg-HU2C,L1,l1pe,3,L
std_nect-Qt98_1732012437757_21,nect-Qt98,L1,l1pe,3,L
std_nect-Qt98_1732012439636_21,nect-Qt98,L1,l1pe,3,L
std_nect-Qt98_1732012441593_21,nect-Qt98,L1,l1pe,3,L
std_nect-Qt98_1732012443538_21,nect-Qt98,L1,l1pe,3,L
std_Kp7P-Uqxm_1732012476673_22,Kp7P-Uqxm,L1,l1pe,3,L
std_Kp7P-Uqxm_1732012478222_22,Kp7P-Uqxm,L1,l1pe,3,L
std_Kp7P-Uqxm_1732012480476_22,Kp7P-Uqxm,L1,l1pe,3,L
std_Kp7P-Uqxm_1732012482653_22,Kp7P-Uqxm,L1,l1pe,3,L
std_7mMo-4J6s_1732012488834_23,7mMo-4J6s,L2,l2pe,4,L
std_7mMo-4J6s_1732012490715_23,7mMo-4J6s,L2,l2pe,4,L
std_7mMo-4J6s_1732012492192_23,7mMo-4J6s,L2,l2pe,4,L
std_7mMo-4J6s_1732012493678_23,7mMo-4J6s,L2,l2pe,4,L
std_Qd3P-e9sR_1732012514823_25,Qd3P-e9sR,L2,l2pe,4,L
std_H7C4-Lh24_1732012516420_24,H7C4-Lh24,L2,l2pe,4,L
std_Qd3P-e9sR_1732012516303_25,Qd3P-e9sR,L2,l2pe,4,L
std_Qd3P-e9sR_1732012518053_25,Qd3P-e9sR,L2,l2pe,4,L
std_H7C4-Lh24_1732012518024_24,H7C4-Lh24,L2,l2pe,4,L
std_Qd3P-e9sR_1732012519719_25,Qd3P-e9sR,L2,l2pe,4,L
std_H7C4-Lh24_1732012519750_24,H7C4-Lh24,L2,l2pe,4,L
std_H7C4-Lh24_1732012522091_24,H7C4-Lh24,L2,l2pe,4,L
std_swu6-bY4n_1732012549174_26,swu6-bY4n,L2,l2pe,4,L
std_swu6-bY4n_1732012551228_26,swu6-bY4n,L2,l2pe,4,L
std_swu6-bY4n_1732012553206_26,swu6-bY4n,L2,l2pe,4,L
std_swu6-bY4n_1732012555025_26,swu6-bY4n,L2,l2pe,4,L
std_U6Cq-84yv_1732012576027_27,U6Cq-84yv,L2,l2pe,4,L
std_U6Cq-84yv_1732012577860_27,U6Cq-84yv,L2,l2pe,4,L
std_U6Cq-84yv_1732012579852_27,U6Cq-84yv,L2,l2pe,4,L
std_U6Cq-84yv_1732012581746_27,U6Cq-84yv,L2,l2pe,4,L
std_c974-24bY_1732012601126_29,c974-24bY,L2,l2pe,4,L
std_c974-24bY_1732012602475_29,c974-24bY,L2,l2pe,4,L
std_nF7n-3i6x_1732012603356_28,nF7n-3i6x,L2,l2pe,4,L
std_c974-24bY_1732012604089_29,c974-24bY,L2,l2pe,4,L
std_nF7n-3i6x_1732012605095_28,nF7n-3i6x,L2,l2pe,4,L
std_nF7n-3i6x_1732012606823_28,nF7n-3i6x,L2,l2pe,4,L
std_c974-24bY_1732012606266_29,c974-24bY,L2,l2pe,4,L
std_nF7n-3i6x_1732012608181_28,nF7n-3i6x,L2,l2pe,4,L
std_4itb-2HL9_1732012637130_30,4itb-2HL9,L2,l2pe,4,L
std_4itb-2HL9_1732012638557_30,4itb-2HL9,L2,l2pe,4,L
std_4a7W-ZfcU_1732012639341_31,4a7W-ZfcU,L2,l2pe,4,L
std_4itb-2HL9_1732012640494_30,4itb-2HL9,L2,l2pe,4,L
std_4a7W-ZfcU_1732012641437_31,4a7W-ZfcU,L2,l2pe,4,L
std_4itb-2HL9_1732012642423_30,4itb-2HL9,L2,l2pe,4,L
std_4a7W-ZfcU_1732012643703_31,4a7W-ZfcU,L2,l2pe,4,L
std_4a7W-ZfcU_1732012645671_31,4a7W-ZfcU,L2,l2pe,4,L
std_G8jA-x278_1732012659019_32,G8jA-x278,L2,l2pe,4,L
std_G8jA-x278_1732012662749_32,G8jA-x278,L2,l2pe,4,L
std_G8jA-x278_1732012665121_32,G8jA-x278,L2,l2pe,4,L
std_G8jA-x278_1732012666849_32,G8jA-x278,L2,l2pe,4,L
std_m92k-twjW_1732012682112_33,m92k-twjW,L2,l2pe,4,L
std_m92k-twjW_1732012683944_33,m92k-twjW,L2,l2pe,4,L
std_m92k-twjW_1732012685695_33,m92k-twjW,L2,l2pe,4,L
std_m92k-twjW_1732012687929_33,m92k-twjW,L2,l2pe,4,L
std_uQ6U-jh6G_1732012709513_35,uQ6U-jh6G,L2,l2pe,4,L
std_uQ6U-jh6G_1732012710991_35,uQ6U-jh6G,L2,l2pe,4,L
std_D6DA-6WB7_1732012711912_34,D6DA-6WB7,L2,l2pe,4,L
std_uQ6U-jh6G_1732012712599_35,uQ6U-jh6G,L2,l2pe,4,L
std_D6DA-6WB7_1732012713496_34,D6DA-6WB7,L2,l2pe,4,L
std_uQ6U-jh6G_1732012714165_35,uQ6U-jh6G,L2,l2pe,4,L
std_D6DA-6WB7_1732012715594_34,D6DA-6WB7,L2,l2pe,4,L
std_D6DA-6WB7_1732012717615_34,D6DA-6WB7,L2,l2pe,4,L
std_Zhjt-qxso_1732012763523_36,Zhjt-qxso,L2,l2pe,4,L
std_Zhjt-qxso_1732012765339_36,Zhjt-qxso,L2,l2pe,4,L
std_Zhjt-qxso_1732012767185_36,Zhjt-qxso,L2,l2pe,4,L
std_Zhjt-qxso_1732012769436_36,Zhjt-qxso,L2,l2pe,4,L
std_r493-8Vcn_1732012775188_38,r493-8Vcn,L3,l3pe,4,L
std_r493-8Vcn_1732012777277_38,r493-8Vcn,L3,l3pe,4,L
std_r493-8Vcn_1732012779083_38,r493-8Vcn,L3,l3pe,4,L
std_r493-8Vcn_1732012780549_38,r493-8Vcn,L3,l3pe,4,L
std_JaU9-bu9z_1732012781134_37,JaU9-bu9z,L2,l2pe,4,L
std_JaU9-bu9z_1732012783200_37,JaU9-bu9z,L2,l2pe,4,L
std_JaU9-bu9z_1732012785263_37,JaU9-bu9z,L2,l2pe,4,L
std_JaU9-bu9z_1732012787057_37,JaU9-bu9z,L2,l2pe,4,L
std_69x6-394i_1732012823175_39,69x6-394i,L3,l3pe,4,L
std_69x6-394i_1732012825179_39,69x6-394i,L3,l3pe,4,L
std_69x6-394i_1732012827318_39,69x6-394i,L3,l3pe,4,L
std_69x6-394i_1732012829610_39,69x6-394i,L3,l3pe,4,L
std_X8ya-K6n6_1732012835632_40,X8ya-K6n6,L3,l3pe,4,L
std_X8ya-K6n6_1732012837090_40,X8ya-K6n6,L3,l3pe,4,L
std_X8ya-K6n6_1732012839065_40,X8ya-K6n6,L3,l3pe,4,L
std_X8ya-K6n6_1732012841160_40,X8ya-K6n6,L3,l3pe,4,L
std_A6pc-oAhA_1732012853871_42,A6pc-oAhA,L3,l3pe,4,L
std_A6pc-oAhA_1732012856246_42,A6pc-oAhA,L3,l3pe,4,L
std_A6pc-oAhA_1732012857806_42,A6pc-oAhA,L3,l3pe,4,L
std_A6pc-oAhA_1732012859966_42,A6pc-oAhA,L3,l3pe,4,L
std_wLcx-c9vJ_1732012864158_41,wLcx-c9vJ,L3,l3pe,4,L
std_wLcx-c9vJ_1732012866504_41,wLcx-c9vJ,L3,l3pe,4,L
std_wLcx-c9vJ_1732012868705_41,wLcx-c9vJ,L3,l3pe,4,L
std_wLcx-c9vJ_1732012872823_41,wLcx-c9vJ,L3,l3pe,4,L
std_VwnD-p8Zy_1732012911121_43,VwnD-p8Zy,L7,l7pe,3,L
std_VwnD-p8Zy_1732012913010_43,VwnD-p8Zy,L7,l7pe,3,L
std_VwnD-p8Zy_1732012915203_43,VwnD-p8Zy,L7,l7pe,3,L
std_VwnD-p8Zy_1732012917524_43,VwnD-p8Zy,L7,l7pe,3,L
std_z3q3-zU6y_1732012924469_44,z3q3-zU6y,L7,l7pe,3,L
std_z3q3-zU6y_1732012926267_44,z3q3-zU6y,L7,l7pe,3,L
std_z3q3-zU6y_1732012928054_44,z3q3-zU6y,L7,l7pe,3,L
std_z3q3-zU6y_1732012930429_44,z3q3-zU6y,L7,l7pe,3,L
std_9r4q-P2jf_1732012942879_45,9r4q-P2jf,L7,l7pe,3,L
std_9r4q-P2jf_1732012944434_45,9r4q-P2jf,L7,l7pe,3,L
std_9r4q-P2jf_1732012946180_45,9r4q-P2jf,L7,l7pe,3,L
std_9r4q-P2jf_1732012948528_45,9r4q-P2jf,L7,l7pe,3,L
std_THqu-euny_1732012950000_46,THqu-euny,L7,l7pe,3,L
std_THqu-euny_1732012951461_46,THqu-euny,L7,l7pe,3,L
std_THqu-euny_1732012952955_46,THqu-euny,L7,l7pe,3,L
std_THqu-euny_1732012957043_46,THqu-euny,L7,l7pe,3,L
