teacherextuserid,classtitle,classcode,category
tch_20230828-002313_50,class_20230828-002313_50,BEvQ-cWR7,3B8PE
tch_20230828-002313_49,class_20230828-002313_49,nPef-WP38,3B8PE
tch_20230828-002313_46,class_20230828-002313_46,npJ8-X7ax,3B8PE
tch_20230828-002313_48,class_20230828-002313_48,6X8T-Doy7,3B8PE
tch_20230828-002313_47,class_20230828-002313_47,m9R8-wPQ7,3B8PE
tch_20230828-002313_45,class_20230828-002313_45,9EKb-RqyF,3B8PE
tch_20230828-002313_42,class_20230828-002313_42,2D7k-7Qa4,3B8PE
tch_20230828-002313_43,class_20230828-002313_43,wEt8-ko42,3B8PE
tch_20230828-002313_44,class_20230828-002313_44,V8Ut-Dfgv,3B8PE
tch_20230828-002313_40,class_20230828-002313_40,BFTR-6qmD,3B8PE
tch_20230828-002313_39,class_20230828-002313_39,E2H4-yhJL,3B8PE
tch_20230828-002313_37,class_20230828-002313_37,g6Gk-QWau,3B8PE
tch_20230828-002313_41,class_20230828-002313_41,7mgj-UJPW,3B8PE
tch_20230828-002313_38,class_20230828-002313_38,8fNk-FJXH,3B8PE
tch_20230828-002313_35,class_20230828-002313_35,RszH-hKQs,3B8PE
tch_20230828-002313_36,class_20230828-002313_36,Apa4-9WK9,3B8PE
tch_20230828-002313_34,class_20230828-002313_34,RCfB-3dst,3B8PE
tch_20230828-002313_32,class_20230828-002313_32,t86U-PkdD,3B8PE
tch_20230828-002313_33,class_20230828-002313_33,aD8r-F949,3B8PE
tch_20230828-002313_31,class_20230828-002313_31,39ek-68C3,3B8PE
tch_20230828-002313_30,class_20230828-002313_30,TNdE-D4BF,3B8PE
tch_20230828-002313_29,class_20230828-002313_29,RA94-Gk6o,3B8PE
tch_20230828-002313_27,class_20230828-002313_27,Jkbj-gRJx,3B8PE
tch_20230828-002313_28,class_20230828-002313_28,cZ8y-W4uf,3B8PE
tch_20230828-002313_26,class_20230828-002313_26,x8K2-3mD2,3B8PE
tch_20230828-002313_25,class_20230828-002313_25,23x9-YmYf,3B8PE
tch_20230828-002313_24,class_20230828-002313_24,BoPs-r82D,3B8PE
tch_20230828-002313_22,class_20230828-002313_22,j3BU-YbNb,3B8PE
tch_20230828-002313_23,class_20230828-002313_23,ae3F-3mE9,3B8PE
tch_20230828-002313_21,class_20230828-002313_21,fzGn-8X7h,3B8PE
tch_20230828-002313_19,class_20230828-002313_19,BaVR-3dqT,3B8PE
tch_20230828-002313_20,class_20230828-002313_20,6wyG-6yE4,3B8PE
