extuserid,classcode,category
std_98L3-LszR_1692963324025_1,98L3-LszR,3B8PE
std_98L3-LszR_1692963353827_1,98L3-LszR,3B8PE
std_2rAm-s963_1692963352731_2,2rAm-s963,3B8PE
std_2rAm-s963_1692963381596_2,2rAm-s963,3B8PE
std_98L3-LszR_1692963380302_1,98L3-LszR,3B8PE
std_dy2c-4ZdU_1692963376179_3,dy2c-4ZdU,3B8PE
std_vCAM-dc3b_1692963400013_4,vCAM-dc3b,3B8PE
std_dy2c-4ZdU_1692963407756_3,dy2c-4ZdU,3B8PE
std_2rAm-s963_1692963405230_2,2rAm-s963,3B8PE
std_98L3-LszR_1692963406683_1,98L3-LszR,3B8PE
std_uxdm-yXCt_1692963432176_5,uxdm-yXCt,3B8PE
std_98L3-LszR_1692963438579_1,98L3-LszR,3B8PE
std_vCAM-dc3b_1692963433272_4,vCAM-dc3b,3B8PE
std_dy2c-4ZdU_1692963434167_3,dy2c-4ZdU,3B8PE
std_2rAm-s963_1692963436288_2,2rAm-s963,3B8PE
std_uxdm-yXCt_1692963458670_5,uxdm-yXCt,3B8PE
std_98L3-LszR_1692963465011_1,98L3-LszR,3B8PE
std_vCAM-dc3b_1692963465355_4,vCAM-dc3b,3B8PE
std_2rAm-s963_1692963468052_2,2rAm-s963,3B8PE
std_dy2c-4ZdU_1692963466394_3,dy2c-4ZdU,3B8PE
std_GyR3-Mwqu_1692963483128_6,GyR3-Mwqu,3B8PE
std_uxdm-yXCt_1692963485486_5,uxdm-yXCt,3B8PE
std_98L3-LszR_1692963489862_1,98L3-LszR,3B8PE
std_vCAM-dc3b_1692963497857_4,vCAM-dc3b,3B8PE
std_dy2c-4ZdU_1692963500800_3,dy2c-4ZdU,3B8PE
std_2rAm-s963_1692963498103_2,2rAm-s963,3B8PE
std_GyR3-Mwqu_1692963508106_6,GyR3-Mwqu,3B8PE
std_qKtB-G3zV_1692963516661_7,qKtB-G3zV,3B8PE
std_uxdm-yXCt_1692963513812_5,uxdm-yXCt,3B8PE
std_98L3-LszR_1692963517992_1,98L3-LszR,3B8PE
std_dy2c-4ZdU_1692963527579_3,dy2c-4ZdU,3B8PE
std_vCAM-dc3b_1692963524775_4,vCAM-dc3b,3B8PE
std_GyR3-Mwqu_1692963533534_6,GyR3-Mwqu,3B8PE
std_2rAm-s963_1692963529591_2,2rAm-s963,3B8PE
std_w4wR-9hA6_1692963537337_8,w4wR-9hA6,3B8PE
std_qKtB-G3zV_1692963541485_7,qKtB-G3zV,3B8PE
std_uxdm-yXCt_1692963544506_5,uxdm-yXCt,3B8PE
std_98L3-LszR_1692963548085_1,98L3-LszR,3B8PE
std_dy2c-4ZdU_1692963552666_3,dy2c-4ZdU,3B8PE
std_vCAM-dc3b_1692963557831_4,vCAM-dc3b,3B8PE
std_w4wR-9hA6_1692963564178_8,w4wR-9hA6,3B8PE
std_GyR3-Mwqu_1692963558825_6,GyR3-Mwqu,3B8PE
std_2rAm-s963_1692963560457_2,2rAm-s963,3B8PE
std_uxdm-yXCt_1692963573090_5,uxdm-yXCt,3B8PE
std_qKtB-G3zV_1692963568411_7,qKtB-G3zV,3B8PE
std_dy2c-4ZdU_1692963578285_3,dy2c-4ZdU,3B8PE
std_98L3-LszR_1692963576284_1,98L3-LszR,3B8PE
std_vCAM-dc3b_1692963583805_4,vCAM-dc3b,3B8PE
std_w4wR-9hA6_1692963590214_8,w4wR-9hA6,3B8PE
std_2rAm-s963_1692963591712_2,2rAm-s963,3B8PE
std_GyR3-Mwqu_1692963590517_6,GyR3-Mwqu,3B8PE
std_Joqd-kdfQ_1692963587181_9,Joqd-kdfQ,3B8PE
std_uxdm-yXCt_1692963598744_5,uxdm-yXCt,3B8PE
std_qKtB-G3zV_1692963600703_7,qKtB-G3zV,3B8PE
std_dy2c-4ZdU_1692963605837_3,dy2c-4ZdU,3B8PE
std_vCAM-dc3b_1692963608819_4,vCAM-dc3b,3B8PE
std_98L3-LszR_1692963606498_1,98L3-LszR,3B8PE
std_2ZAk-f7Fq_1692963617578_10,2ZAk-f7Fq,3B8PE
std_GyR3-Mwqu_1692963616967_6,GyR3-Mwqu,3B8PE
std_2rAm-s963_1692963615938_2,2rAm-s963,3B8PE
std_w4wR-9hA6_1692963614354_8,w4wR-9hA6,3B8PE
std_Joqd-kdfQ_1692963618191_9,Joqd-kdfQ,3B8PE
std_qKtB-G3zV_1692963628910_7,qKtB-G3zV,3B8PE
std_uxdm-yXCt_1692963624471_5,uxdm-yXCt,3B8PE
std_dy2c-4ZdU_1692963633429_3,dy2c-4ZdU,3B8PE
std_vCAM-dc3b_1692963634006_4,vCAM-dc3b,3B8PE
std_98L3-LszR_1692963638495_1,98L3-LszR,3B8PE
std_GyR3-Mwqu_1692963641385_6,GyR3-Mwqu,3B8PE
std_2ZAk-f7Fq_1692963641039_10,2ZAk-f7Fq,3B8PE
std_2rAm-s963_1692963644207_2,2rAm-s963,3B8PE
std_w4wR-9hA6_1692963645404_8,w4wR-9hA6,3B8PE
std_g97i-LV93_1692963652917_11,g97i-LV93,3B8PE
std_qKtB-G3zV_1692963654062_7,qKtB-G3zV,3B8PE
std_Joqd-kdfQ_1692963649803_9,Joqd-kdfQ,3B8PE
std_uxdm-yXCt_1692963657752_5,uxdm-yXCt,3B8PE
std_dy2c-4ZdU_1692963660072_3,dy2c-4ZdU,3B8PE
std_vCAM-dc3b_1692963662226_4,vCAM-dc3b,3B8PE
std_2ZAk-f7Fq_1692963671428_10,2ZAk-f7Fq,3B8PE
std_98L3-LszR_1692963669252_1,98L3-LszR,3B8PE
std_w4wR-9hA6_1692963673070_8,w4wR-9hA6,3B8PE
std_GyR3-Mwqu_1692963670257_6,GyR3-Mwqu,3B8PE
std_2rAm-s963_1692963672768_2,2rAm-s963,3B8PE
std_g97i-LV93_1692963677311_11,g97i-LV93,3B8PE
std_qKtB-G3zV_1692963678231_7,qKtB-G3zV,3B8PE
std_uxdm-yXCt_1692963681912_5,uxdm-yXCt,3B8PE
std_Joqd-kdfQ_1692963681492_9,Joqd-kdfQ,3B8PE
std_kqZ3-6U4F_1692963682511_12,kqZ3-6U4F,3B8PE
std_dy2c-4ZdU_1692963689882_3,dy2c-4ZdU,3B8PE
std_vCAM-dc3b_1692963696340_4,vCAM-dc3b,3B8PE
std_w4wR-9hA6_1692963700899_8,w4wR-9hA6,3B8PE
std_g97i-LV93_1692963704608_11,g97i-LV93,3B8PE
std_2rAm-s963_1692963704119_2,2rAm-s963,3B8PE
std_98L3-LszR_1692963700077_1,98L3-LszR,3B8PE
std_2ZAk-f7Fq_1692963697520_10,2ZAk-f7Fq,3B8PE
std_GyR3-Mwqu_1692963700947_6,GyR3-Mwqu,3B8PE
std_F43K-3vHZ_1692963707173_13,F43K-3vHZ,3B8PE
std_uxdm-yXCt_1692963709115_5,uxdm-yXCt,3B8PE
std_qKtB-G3zV_1692963707827_7,qKtB-G3zV,3B8PE
std_Joqd-kdfQ_1692963712302_9,Joqd-kdfQ,3B8PE
std_dy2c-4ZdU_1692963713284_3,dy2c-4ZdU,3B8PE
std_kqZ3-6U4F_1692963712618_12,kqZ3-6U4F,3B8PE
std_w4wR-9hA6_1692963726600_8,w4wR-9hA6,3B8PE
std_Cw3R-dBG3_1692963726663_14,Cw3R-dBG3,3B8PE
std_g97i-LV93_1692963730231_11,g97i-LV93,3B8PE
std_98L3-LszR_1692963731937_1,98L3-LszR,3B8PE
std_vCAM-dc3b_1692963723489_4,vCAM-dc3b,3B8PE
std_uxdm-yXCt_1692963735479_5,uxdm-yXCt,3B8PE
std_F43K-3vHZ_1692963734049_13,F43K-3vHZ,3B8PE
std_2ZAk-f7Fq_1692963731968_10,2ZAk-f7Fq,3B8PE
std_dy2c-4ZdU_1692963740057_3,dy2c-4ZdU,3B8PE
std_2rAm-s963_1692963731556_2,2rAm-s963,3B8PE
std_qKtB-G3zV_1692963736496_7,qKtB-G3zV,3B8PE
std_GyR3-Mwqu_1692963732969_6,GyR3-Mwqu,3B8PE
std_kqZ3-6U4F_1692963744096_12,kqZ3-6U4F,3B8PE
std_Joqd-kdfQ_1692963738078_9,Joqd-kdfQ,3B8PE
std_w4wR-9hA6_1692963754591_8,w4wR-9hA6,3B8PE
std_g97i-LV93_1692963755566_11,g97i-LV93,3B8PE
std_98L3-LszR_1692963755913_1,98L3-LszR,3B8PE
std_2ZAk-f7Fq_1692963761221_10,2ZAk-f7Fq,3B8PE
std_Cw3R-dBG3_1692963755222_14,Cw3R-dBG3,3B8PE
std_dy2c-4ZdU_1692963763497_3,dy2c-4ZdU,3B8PE
std_GyR3-Mwqu_1692963765577_6,GyR3-Mwqu,3B8PE
std_vCAM-dc3b_1692963756556_4,vCAM-dc3b,3B8PE
std_kqZ3-6U4F_1692963767717_12,kqZ3-6U4F,3B8PE
std_uxdm-yXCt_1692963760142_5,uxdm-yXCt,3B8PE
std_F43K-3vHZ_1692963761000_13,F43K-3vHZ,3B8PE
std_2rAm-s963_1692963763984_2,2rAm-s963,3B8PE
std_qKtB-G3zV_1692963764928_7,qKtB-G3zV,3B8PE
std_Joqd-kdfQ_1692963769444_9,Joqd-kdfQ,3B8PE
std_w4wR-9hA6_1692963779324_8,w4wR-9hA6,3B8PE
std_g97i-LV93_1692963779740_11,g97i-LV93,3B8PE
std_dy2c-4ZdU_1692963787177_3,dy2c-4ZdU,3B8PE
std_2ZAk-f7Fq_1692963786569_10,2ZAk-f7Fq,3B8PE
std_98L3-LszR_1692963784438_1,98L3-LszR,3B8PE
std_vCAM-dc3b_1692963788994_4,vCAM-dc3b,3B8PE
std_GyR3-Mwqu_1692963788765_6,GyR3-Mwqu,3B8PE
std_b4Q3-29rJ_1692963785283_15,b4Q3-29rJ,3B8PE
std_uxdm-yXCt_1692963793517_5,uxdm-yXCt,3B8PE
std_F43K-3vHZ_1692963793787_13,F43K-3vHZ,3B8PE
std_kqZ3-6U4F_1692963792515_12,kqZ3-6U4F,3B8PE
std_Cw3R-dBG3_1692963787177_14,Cw3R-dBG3,3B8PE
std_2rAm-s963_1692963793805_2,2rAm-s963,3B8PE
std_qKtB-G3zV_1692963797628_7,qKtB-G3zV,3B8PE
std_w4wR-9hA6_1692963803938_8,w4wR-9hA6,3B8PE
std_Joqd-kdfQ_1692963799149_9,Joqd-kdfQ,3B8PE
std_dy2c-4ZdU_1692963811313_3,dy2c-4ZdU,3B8PE
std_3Tb3-nGns_1692963811014_16,3Tb3-nGns,3B8PE
std_vCAM-dc3b_1692963816229_4,vCAM-dc3b,3B8PE
std_g97i-LV93_1692963809998_11,g97i-LV93,3B8PE
std_2ZAk-f7Fq_1692963813946_10,2ZAk-f7Fq,3B8PE
std_uxdm-yXCt_1692963819909_5,uxdm-yXCt,3B8PE
std_98L3-LszR_1692963815178_1,98L3-LszR,3B8PE
std_GyR3-Mwqu_1692963816244_6,GyR3-Mwqu,3B8PE
std_F43K-3vHZ_1692963820458_13,F43K-3vHZ,3B8PE
std_kqZ3-6U4F_1692963821648_12,kqZ3-6U4F,3B8PE
std_b4Q3-29rJ_1692963818165_15,b4Q3-29rJ,3B8PE
std_7drF-X6FA_1692963821312_17,7drF-X6FA,3B8PE
std_Cw3R-dBG3_1692963822280_14,Cw3R-dBG3,3B8PE
std_qKtB-G3zV_1692963826150_7,qKtB-G3zV,3B8PE
std_2rAm-s963_1692963823007_2,2rAm-s963,3B8PE
std_w4wR-9hA6_1692963827417_8,w4wR-9hA6,3B8PE
std_Joqd-kdfQ_1692963830442_9,Joqd-kdfQ,3B8PE
std_dy2c-4ZdU_1692963835337_3,dy2c-4ZdU,3B8PE
std_vCAM-dc3b_1692963840929_4,vCAM-dc3b,3B8PE
std_3Tb3-nGns_1692963836476_16,3Tb3-nGns,3B8PE
std_g97i-LV93_1692963841547_11,g97i-LV93,3B8PE
