tchextid,stduuid,extuserid,groupid
tch_20231113-132202_13,61f6b71a-ec37-467c-95ff-5b6898627c34,std_1699862357042_13,bafff3ae-8141-4bfc-8c55-294102677937
tch_20231113-132202_15,fa4d60fe-3e56-44ea-82ea-b320b1209367,std_1699862276819_15,b368020f-f65a-4ffc-b727-be7b48ddc2d4
tch_20231113-132202_7,21e6d0bc-dd08-4bb0-ae0d-aaa7df698290,std_1699862499811_7,02d34522-6127-453f-b201-c76d46f471d9
tch_20231113-132202_9,cdebe53f-0418-4cec-a422-54e40b435606,std_1699862533483_9,3870fd3c-32b0-44f9-ad44-11c950849529
tch_20231113-132202_17,e8a8cb9b-4540-4c1e-8df4-12d8712615f4,std_1699862141714_17,91b31683-cad3-450f-b537-62b4f4b4a805
tch_20231113-132202_7,9f222e56-c8fa-40b6-a68b-17be51ac5bc8,std_1699862527979_7,02d34522-6127-453f-b201-c76d46f471d9
tch_20231113-132202_15,c5716e3d-6f8c-48fb-8f60-d60383766fbb,std_1699862301896_15,b368020f-f65a-4ffc-b727-be7b48ddc2d4
tch_20231113-132202_13,f727ab10-af74-40b4-bdfe-1993875df0fa,std_1699862381608_13,bafff3ae-8141-4bfc-8c55-294102677937
tch_20231113-132202_17,3dcd520a-cd01-408c-8507-768ce0ca0643,std_1699862168883_17,91b31683-cad3-450f-b537-62b4f4b4a805
tch_20231113-132202_14,2562a6f5-fc4f-4f5f-9c34-d2906d045d23,std_1699862373281_14,ab337670-e0fa-4b8b-8eab-fcd597033eb3
tch_20231113-132202_15,90ce3d4f-b81d-4276-b2c4-ac4bbcf36472,std_1699862330702_15,b368020f-f65a-4ffc-b727-be7b48ddc2d4
tch_20231113-132202_19,952ebdf8-b4c3-41ae-924c-d91568bb3391,std_1699862160437_19,d3291e04-4e60-4c3a-b149-41eef842cdcd
tch_20231113-132202_13,66fe97f4-5428-43fa-961a-7394b85c6d1e,std_1699862406257_13,bafff3ae-8141-4bfc-8c55-294102677937
tch_20231113-132202_14,c8f8fbb0-b3ad-43f5-a117-930c1ba38dba,std_1699862395347_14,ab337670-e0fa-4b8b-8eab-fcd597033eb3
tch_20231113-132202_18,c95acae0-bf6f-4468-b39f-2167f1b0063f,std_1699862149638_18,15fbd2ce-f23c-47c5-94c9-a57ae1b74a8f
tch_20231113-132202_17,99c2629b-4310-4d91-8057-4b99082f8762,std_1699862198262_17,91b31683-cad3-450f-b537-62b4f4b4a805
tch_20231113-132202_10,553c417d-d821-4223-9640-90bc28400c62,std_1699862463531_10,9c2abebd-5478-4810-8e74-499981ce9cb8
tch_20231113-132202_19,69c5e96b-cb52-4a1f-b8fd-e6c6bf18b0ba,std_1699862186628_19,d3291e04-4e60-4c3a-b149-41eef842cdcd
tch_20231113-132202_12,5a84c82d-1a49-455f-8280-a90602b484c6,std_1699862476582_12,693df755-1675-425b-9116-094f58a857d9
tch_20231113-132202_13,9aba18e2-c6fc-4e4d-b9a7-e192e0eeeb38,std_1699862433074_13,bafff3ae-8141-4bfc-8c55-294102677937
tch_20231113-132202_14,a2f2abb7-ea75-4a9a-bd6f-17e188d8ac63,std_1699862422474_14,ab337670-e0fa-4b8b-8eab-fcd597033eb3
tch_20231113-132202_17,b5d30b86-370d-408c-9bba-0ebe214ad4b6,std_1699862226523_17,91b31683-cad3-450f-b537-62b4f4b4a805
tch_20231113-132202_16,ed9bf876-e8c8-4780-895e-c7566d313bb7,std_1699862262088_16,1c102dbd-4aa1-426c-8fbd-b0044cfeca7c
tch_20231113-132202_18,c0ce0947-a246-4a4d-8779-9dcc3b42b7f8,std_1699862173330_18,15fbd2ce-f23c-47c5-94c9-a57ae1b74a8f
tch_20231113-132202_11,c5c8efb9-cec7-46de-bbf4-46febc6e3c35,std_1699862482877_11,17b98144-8b14-47d7-929f-46b46e395eea
tch_20231113-132202_19,1da84714-98c8-4406-ad5e-6bb8f5fbcf84,std_1699862215625_19,d3291e04-4e60-4c3a-b149-41eef842cdcd
tch_20231113-132202_10,330e6787-e01d-4515-ba9a-6c906f60dde4,std_1699862492599_10,9c2abebd-5478-4810-8e74-499981ce9cb8
tch_20231113-132202_12,01d41f2f-5303-4674-b1d3-06e917776d78,std_1699862500818_12,693df755-1675-425b-9116-094f58a857d9
tch_20231113-132202_14,fe26e83a-ad1f-47ef-96e1-e5cbe4f747d4,std_1699862448428_14,ab337670-e0fa-4b8b-8eab-fcd597033eb3
tch_20231113-132202_18,b6a3c331-68bd-4ec0-9ca2-d4357b40d6ca,std_1699862198545_18,15fbd2ce-f23c-47c5-94c9-a57ae1b74a8f
tch_20231113-132202_11,a6f65314-3b48-4c6d-afba-d79cfe1410fc,std_1699862509397_11,17b98144-8b14-47d7-929f-46b46e395eea
tch_20231113-132202_16,6b1bf813-bdd6-4625-882a-e1e36dc713c4,std_1699862286663_16,1c102dbd-4aa1-426c-8fbd-b0044cfeca7c
tch_20231113-132202_19,ab4f86c5-f09a-4eef-bfa0-56e6b43b2e11,std_1699862239010_19,d3291e04-4e60-4c3a-b149-41eef842cdcd
tch_20231113-132202_10,53b48a37-fc6f-438b-b223-8642c6c83d28,std_1699862520611_10,9c2abebd-5478-4810-8e74-499981ce9cb8
tch_20231113-132202_12,d708e00a-fda9-4c26-aa3f-6b980b33204e,std_1699862527047_12,693df755-1675-425b-9116-094f58a857d9
tch_20231113-132202_11,c07bb59e-477b-48d2-ac98-a35357bdecc5,std_1699862533583_11,17b98144-8b14-47d7-929f-46b46e395eea
tch_20231113-132202_18,d5a12cb3-4480-4c31-af15-93b78c2bfdad,std_1699862227515_18,15fbd2ce-f23c-47c5-94c9-a57ae1b74a8f
tch_20231113-132202_10,b1b30a85-6b5d-49d1-b168-563b80f2a262,std_1699862547577_10,9c2abebd-5478-4810-8e74-499981ce9cb8
tch_20231113-132202_16,4d682002-53de-4b47-9663-3ae48dbf984e,std_1699862312247_16,1c102dbd-4aa1-426c-8fbd-b0044cfeca7c
tch_20231113-132202_12,d9d3a9fc-076f-40fd-b01a-6d675d32a521,std_1699862554330_12,693df755-1675-425b-9116-094f58a857d9
tch_20231113-132202_11,60fd5be6-9629-4b68-a82d-83cd3253ae4d,std_1699862563235_11,17b98144-8b14-47d7-929f-46b46e395eea
tch_20231113-132202_16,6ccb587e-74f9-466d-a7ca-06c2c159dfb1,std_1699862336676_16,1c102dbd-4aa1-426c-8fbd-b0044cfeca7c
tch_20231113-132202_15,93fc803e-9577-4964-9603-c2b64384e646,std_1699862379002_15,b5da34d1-a144-45f8-8a0e-3ed185edf255
tch_20231113-132202_13,926627b1-120a-43c3-a000-f9fe64f90e00,std_1699862485422_13,8dfba979-bd5e-4200-b363-4a79b96ff203
tch_20231113-132202_17,6b6adcd9-1403-49e1-a3fb-7c809a065b22,std_1699862282848_17,dbb8fd4b-5d98-43b7-aa94-01fb4cc7e17a
tch_20231113-132202_15,854618c6-b56c-45f5-8812-8b709f3006fe,std_1699862406257_15,b5da34d1-a144-45f8-8a0e-3ed185edf255
tch_20231113-132202_13,0d629d15-f9f9-4539-86b6-c91cabf0df93,std_1699862513941_13,8dfba979-bd5e-4200-b363-4a79b96ff203
tch_20231113-132202_17,b96148a6-b13a-4b56-9e59-6f4002d271fe,std_1699862306727_17,dbb8fd4b-5d98-43b7-aa94-01fb4cc7e17a
