tchextid,stduuid,extuserid,groupid
tch_20231113-164332_88,0255d086-0e13-44af-9e1f-81519769570d,std_1699875134794_88,aa2c82ae-e163-45a0-aa57-ec05e82708bc
tch_20231113-164332_83,4f5e48a4-a3d9-4a12-998d-55d6e06e4fb6,std_1699875359234_83,26283dc0-67a2-4a06-acf4-a17708c074c7
tch_20231113-164332_91,141c8f98-003f-48d8-82ca-83f5cfde23b9,std_1699875130072_91,0402f67c-db01-4373-9037-e31ef8acb81f
tch_20231113-164332_84,077dcbe3-9f85-4de7-ba82-89714516ae1e,std_1699875307289_84,182ca400-b5b2-43d8-8c25-186254c7b526
tch_20231113-164332_86,d020a8ee-2e62-4bf2-85fe-60e0cdf7f35c,std_1699875218208_86,71dfab26-611d-43c5-a297-feeb1c3e3892
tch_20231113-164332_92,2519a9c2-79c1-4732-b082-68599ce19361,std_1699875016558_92,894a1e9b-ff96-486d-a745-43cbc21a260b
tch_20231113-164332_90,2af39d9d-b3f7-4542-9bc5-ef1ded30a30e,std_1699875052611_90,3fea42d0-2c1c-4fe2-8ea5-4c96d4512fe6
tch_20231113-164332_88,1e4c17ba-00ae-45d5-8320-de033f827eb8,std_1699875110112_88,aa2c82ae-e163-45a0-aa57-ec05e82708bc
tch_20231113-164332_87,883bb61a-bf4e-4ce7-a4f7-ad27cfb22802,std_1699875256898_87,102f58e8-dffc-48e4-aa42-e189eed1c271
tch_20231113-164332_83,23cadb5f-d526-4e02-b12e-46e01bd3b232,std_1699875328207_83,26283dc0-67a2-4a06-acf4-a17708c074c7
tch_20231113-164332_91,08e10407-6fe4-4278-9166-31e48cbc6387,std_1699875101712_91,0402f67c-db01-4373-9037-e31ef8acb81f
tch_20231113-164332_90,530ed85b-ed28-41db-b68a-f80de9c804c1,std_1699875024968_90,3fea42d0-2c1c-4fe2-8ea5-4c96d4512fe6
tch_20231113-164332_86,ca48bdc3-2944-4fbf-9a2c-309bed8f572e,std_1699875193577_86,71dfab26-611d-43c5-a297-feeb1c3e3892
tch_20231113-164332_92,d35895d6-c590-4d6c-b92d-62d4548f5708,std_1699874987528_92,894a1e9b-ff96-486d-a745-43cbc21a260b
tch_20231113-164332_88,83008e8a-2c79-421b-9328-0e6f0c336b41,std_1699875078705_88,aa2c82ae-e163-45a0-aa57-ec05e82708bc
tch_20231113-164332_87,5382f977-9440-4930-873f-117840c4bd15,std_1699875231868_87,102f58e8-dffc-48e4-aa42-e189eed1c271
tch_20231113-164332_83,0506e77b-a073-4cc9-882f-210c1054b283,std_1699875301577_83,26283dc0-67a2-4a06-acf4-a17708c074c7
tch_20231113-164332_90,55919579-cdfc-4692-abb8-c9bae31e1774,std_1699874994953_90,3fea42d0-2c1c-4fe2-8ea5-4c96d4512fe6
tch_20231113-164332_87,9361e20c-ba5e-4767-ad19-b4cf1e3cc129,std_1699875204044_87,102f58e8-dffc-48e4-aa42-e189eed1c271
tch_20231113-164332_89,d521de95-4239-42d6-9897-7458f72fb524,std_1699875163547_89,bf9078e7-38da-4a8e-bf04-a74955aebcaf
tch_20231113-164332_90,ddbff097-e7f2-4190-a523-31d2edc7a866,std_1699874969547_90,3fea42d0-2c1c-4fe2-8ea5-4c96d4512fe6
tch_20231113-164332_81,b1a3dbe3-a527-4d5a-b77c-92a155be00bc,std_1699875360672_81,128716cd-620d-4a3d-a3ce-063150d742e1
tch_20231113-164332_89,b231404d-aa6d-4db1-97df-ce9808257f01,std_1699875140189_89,bf9078e7-38da-4a8e-bf04-a74955aebcaf
tch_20231113-164332_85,ca126781-a8cf-43d3-9205-a336dea06252,std_1699875263783_85,eb78b640-b342-42d1-994d-ee98641f296c
tch_20231113-164332_84,d33ce310-8ba2-41b7-b14d-e472d5aa68f4,std_1699875250813_84,0fcbc8f5-3eb0-445d-a937-6ac24105ca8f
tch_20231113-164332_81,6dc593af-8f34-4644-87d3-f12a28b37bdd,std_1699875337801_81,128716cd-620d-4a3d-a3ce-063150d742e1
tch_20231113-164332_89,11ea8a2e-cb14-4234-a9f7-4e53d92765de,std_1699875111831_89,bf9078e7-38da-4a8e-bf04-a74955aebcaf
tch_20231113-164332_85,b0abc165-1991-4bac-80dd-170aa22889d6,std_1699875236686_85,eb78b640-b342-42d1-994d-ee98641f296c
tch_20231113-164332_86,613a766d-e328-4f8b-95cd-6ec1db37d3f1,std_1699875141841_86,0b528a43-dfc0-4f99-9574-c9d58dcc3935
tch_20231113-164332_84,644c93de-6199-4400-b997-d0dc55fc7f3f,std_1699875224552_84,0fcbc8f5-3eb0-445d-a937-6ac24105ca8f
tch_20231113-164332_81,e0ccb821-973d-46b4-9657-fd8d6a865819,std_1699875309373_81,128716cd-620d-4a3d-a3ce-063150d742e1
tch_20231113-164332_89,ec8e5fde-781c-4f43-a235-0633a891d85f,std_1699875086692_89,bf9078e7-38da-4a8e-bf04-a74955aebcaf
tch_20231113-164332_88,10dc169a-58a9-40da-b0c5-675abad308f5,std_1699875024209_88,6c13129d-8eeb-41e9-b9d3-65e7a859e379
tch_20231113-164332_91,2452e068-6778-4ca1-b3e2-74c72ec6326e,std_1699875050492_91,b785b94f-8293-4ef7-b21d-30f51ab821fc
tch_20231113-164332_85,aefd6747-3122-40ed-89bc-230077791dbb,std_1699875207935_85,eb78b640-b342-42d1-994d-ee98641f296c
tch_20231113-164332_84,b40e5af3-bca8-4c95-94b1-a23a75bf6bd8,std_1699875196552_84,0fcbc8f5-3eb0-445d-a937-6ac24105ca8f
tch_20231113-164332_86,f1f2c52f-8980-464f-aeb9-909118a3a1e6,std_1699875114511_86,0b528a43-dfc0-4f99-9574-c9d58dcc3935
tch_20231113-164332_83,1ef6a2e6-a1cd-4f10-b86e-5748c90d3730,std_1699875249614_83,be8e0d54-f204-4c82-aa68-c6accc93faad
tch_20231113-164332_81,b6c1dafe-4900-4823-808f-8ba25b89be05,std_1699875280107_81,128716cd-620d-4a3d-a3ce-063150d742e1
tch_20231113-164332_88,43c07550-e5ef-4082-bb61-4e2a8fb8e53a,std_1699874994684_88,6c13129d-8eeb-41e9-b9d3-65e7a859e379
tch_20231113-164332_91,824d23f5-7a91-4e12-ad9b-da9ea2413979,std_1699875022567_91,b785b94f-8293-4ef7-b21d-30f51ab821fc
tch_20231113-164332_82,1fee1852-4884-41b5-acfb-7bbdc3df5ee6,std_1699875357113_82,e3a59503-f2e9-4064-9cd3-de91339d7458
tch_20231113-164332_87,deb4ba5f-5e09-4e10-8008-3253bbc908b2,std_1699875150602_87,07932638-dbb8-42dc-bc93-5e770971dea4
tch_20231113-164332_84,c6668079-d119-4fae-8c6b-8c662fe8d50f,std_1699875168208_84,0fcbc8f5-3eb0-445d-a937-6ac24105ca8f
tch_20231113-164332_85,ade25162-dd78-4b12-a307-230590d7c5b6,std_1699875184056_85,eb78b640-b342-42d1-994d-ee98641f296c
tch_20231113-164332_83,f11bb65d-cd3a-4a2c-97c4-6c94e666e900,std_1699875218976_83,be8e0d54-f204-4c82-aa68-c6accc93faad
tch_20231113-164332_86,1f4b091c-1a35-4324-8015-54604b99233f,std_1699875087375_86,0b528a43-dfc0-4f99-9574-c9d58dcc3935
tch_20231113-164332_88,3abb99f0-740c-4b0c-89e7-921f3e7e98d8,std_1699874966223_88,6c13129d-8eeb-41e9-b9d3-65e7a859e379
tch_20231113-164332_82,dbf326a0-20ad-4fa9-9314-e657ac35f42d,std_1699875333519_82,e3a59503-f2e9-4064-9cd3-de91339d7458
tch_20231113-164332_91,86b5c481-f5de-4b8b-bd70-9ceb59cde8db,std_1699874995888_91,b785b94f-8293-4ef7-b21d-30f51ab821fc
tch_20231113-164332_87,0ffb2114-e096-45cb-b862-7d30e0709769,std_1699875126000_87,07932638-dbb8-42dc-bc93-5e770971dea4
tch_20231113-164332_83,1babe992-9d67-4031-a116-d4cb7648b74b,std_1699875191263_83,be8e0d54-f204-4c82-aa68-c6accc93faad
tch_20231113-164332_86,e59e81fe-4c5d-4d87-9393-341c5302fe1f,std_1699875061447_86,0b528a43-dfc0-4f99-9574-c9d58dcc3935
tch_20231113-164332_88,94520eeb-d3ff-45fc-a56a-c4d0e08935db,std_1699874941438_88,6c13129d-8eeb-41e9-b9d3-65e7a859e379
tch_20231113-164332_79,ac3c5641-ec01-4f50-86e8-70f5e556af1e,std_1699875343626_79,f295d686-f136-4dd0-8232-7d4dbb796562
tch_20231113-164332_91,cc14c6be-0da2-4713-bf55-80e671d00d1e,std_1699874972772_91,b785b94f-8293-4ef7-b21d-30f51ab821fc
tch_20231113-164332_82,45d5d61a-8bc1-425f-a3b5-ade0178975ac,std_1699875306687_82,e3a59503-f2e9-4064-9cd3-de91339d7458
tch_20231113-164332_87,57f5d444-8793-4825-bcac-90164a1ffa1a,std_1699875099733_87,07932638-dbb8-42dc-bc93-5e770971dea4
tch_20231113-164332_83,527b949f-23d8-4e43-bd41-0f7585fe3f4c,std_1699875166836_83,be8e0d54-f204-4c82-aa68-c6accc93faad
tch_20231113-164332_79,a4ba050b-623b-40b7-9429-c8602dd6bc8c,std_1699875314784_79,f295d686-f136-4dd0-8232-7d4dbb796562
tch_20231113-164332_87,825a822a-6f27-4c6c-8190-c05384d48a1a,std_1699875073660_87,07932638-dbb8-42dc-bc93-5e770971dea4
tch_20231113-164332_82,749991e4-10e4-4f3d-adac-2bbc10d31db0,std_1699875277833_82,e3a59503-f2e9-4064-9cd3-de91339d7458
tch_20231113-164332_80,d91ea305-2eea-475e-91bf-044971de939c,std_1699875342795_80,571249f9-b48d-4b31-82ea-e4ef090e5a41
tch_20231113-164332_89,09f23d4a-5655-47e4-a4cc-a1a740baa817,std_1699875036894_89,96184329-293d-4fa4-938c-809382ba75b4
tch_20231113-164332_79,ed15242d-676b-4caa-b407-ba9e54150e2d,std_1699875283506_79,f295d686-f136-4dd0-8232-7d4dbb796562
tch_20231113-164332_80,4d13fbb5-68a6-4820-82b8-a528e4f1b40a,std_1699875318172_80,571249f9-b48d-4b31-82ea-e4ef090e5a41
tch_20231113-164332_89,eaa347d3-353d-4762-9c71-78af3c088f2d,std_1699875014433_89,96184329-293d-4fa4-938c-809382ba75b4
tch_20231113-164332_81,f573e7f3-0bf3-49c9-a154-92528ba182da,std_1699875223528_81,f6244ce0-a4b4-4f64-bac8-8771aad6cac3
tch_20231113-164332_85,5d18ba55-f207-49e9-b399-250ae3ad53af,std_1699875130927_85,fe646a9a-2fbb-4495-a479-bcf6b0cf78de
tch_20231113-164332_79,40798573-32ad-4f16-997d-b71dacd3be09,std_1699875255713_79,f295d686-f136-4dd0-8232-7d4dbb796562
tch_20231113-164332_80,9d41cfed-71dc-4738-890d-9c2cba2c8128,std_1699875290541_80,571249f9-b48d-4b31-82ea-e4ef090e5a41
tch_20231113-164332_84,47392caf-1a78-49c7-a916-11f7841b9880,std_1699875111293_84,ce716fe4-6634-490c-9b77-13680708bae1
tch_20231113-164332_89,43dd9662-d8c6-47ad-8d02-ef998f19573a,std_1699874988104_89,96184329-293d-4fa4-938c-809382ba75b4
tch_20231113-164332_86,9368194c-4341-46c4-a4f4-19eaba8edf6b,std_1699875006539_86,50804862-076a-4a44-953f-9f3a82744187
tch_20231113-164332_81,c5e01a92-b16b-47ad-852c-2cfb6311a35b,std_1699875195521_81,f6244ce0-a4b4-4f64-bac8-8771aad6cac3
tch_20231113-164332_85,568cb6a8-ea11-440b-b846-ab573baa04b3,std_1699875102377_85,fe646a9a-2fbb-4495-a479-bcf6b0cf78de
