extuserid,classcode,category
std_62nz-6Bu7_1692972237374_47,62nz-6Bu7,3B8PE
std_Ugp2-Xy4F_1692972238503_74,Ugp2-Xy4F,3B8PE
std_9Uwf-L4ho_1692972238024_83,9Uwf-L4ho,3B8PE
std_3v69-6Y7u_1692972246502_56,3v69-6Y7u,3B8PE
std_LHTq-koHk_1692972239055_82,LHTq-koHk,3B8PE
std_Rmdo-F838_1692972246414_66,Rmdo-F838,3B8PE
std_Tcwn-Ttz8_1692972243081_42,Tcwn-Ttz8,3B8PE
std_4n7R-4r4W_1692972240104_50,4n7R-4r4W,3B8PE
std_wz2T-tJpq_1692972243994_45,wz2T-tJpq,3B8PE
std_7zYu-neP2_1692972249254_70,7zYu-neP2,3B8PE
std_ufh8-7wYp_1692972249254_53,ufh8-7wYp,3B8PE
std_9J4g-Qtr3_1692972247940_76,9J4g-Qtr3,3B8PE
std_g498-DXrq_1692972248044_58,g498-DXrq,3B8PE
std_nYxY-96a4_1692972247606_39,nYxY-96a4,3B8PE
std_6Ln7-878E_1692972247234_38,6Ln7-878E,3B8PE
std_q327-eEPj_1692972254220_77,q327-eEPj,3B8PE
std_nYwJ-7J4H_1692972253354_49,nYwJ-7J4H,3B8PE
std_9TCu-H3Y8_1692972251915_51,9TCu-H3Y8,3B8PE
std_6jdU-bN4P_1692972247699_67,6jdU-bN4P,3B8PE
std_4aEj-GAhk_1692972248055_59,4aEj-GAhk,3B8PE
std_QY2R-LJN9_1692972249887_65,QY2R-LJN9,3B8PE
std_A68a-Q4C6_1692972252561_78,A68a-Q4C6,3B8PE
std_d82r-ke6z_1692972250407_81,d82r-ke6z,3B8PE
std_2TjF-sd6v_1692972256972_43,2TjF-sd6v,3B8PE
std_7Wc8-qro2_1692972255390_84,7Wc8-qro2,3B8PE
std_kM2r-9kLK_1692972255612_63,kM2r-9kLK,3B8PE
std_zUDL-UDvE_1692972254026_46,zUDL-UDvE,3B8PE
std_Lp4o-697s_1692972260056_52,Lp4o-697s,3B8PE
std_XDRj-4siA_1692972258246_54,XDRj-4siA,3B8PE
std_X6A6-V934_1692972258229_57,X6A6-V934,3B8PE
std_nPac-28Pj_1692972262558_85,nPac-28Pj,3B8PE
std_9YGm-fpYP_1692972261310_72,9YGm-fpYP,3B8PE
std_Jmtc-6wB6_1692972263232_73,Jmtc-6wB6,3B8PE
std_cUP7-pnv2_1692972263172_41,cUP7-pnv2,3B8PE
std_CABq-9DHN_1692972253963_80,CABq-9DHN,3B8PE
std_9sFD-AGoK_1692972262442_69,9sFD-AGoK,3B8PE
std_TYnL-94z2_1692972262700_44,TYnL-94z2,3B8PE
std_4rL9-WsN2_1692972260462_64,4rL9-WsN2,3B8PE
std_WKvY-H3Hx_1692972259518_75,WKvY-H3Hx,3B8PE
std_7Z7o-fC6i_1692972259230_40,7Z7o-fC6i,3B8PE
std_69s3-2823_1692972265351_71,69s3-2823,3B8PE
std_XnmN-8Te2_1692972262295_48,XnmN-8Te2,3B8PE
std_D86A-qG79_1692972267212_60,D86A-qG79,3B8PE
std_824L-vD23_1692972261811_79,824L-vD23,3B8PE
std_wjJ9-M7t2_1692972269222_68,wjJ9-M7t2,3B8PE
std_3v69-6Y7u_1692972271061_56,3v69-6Y7u,3B8PE
std_HTB9-vo4C_1692972266432_61,HTB9-vo4C,3B8PE
std_9Uwf-L4ho_1692972270993_83,9Uwf-L4ho,3B8PE
std_ufh8-7wYp_1692972275130_53,ufh8-7wYp,3B8PE
std_Tcwn-Ttz8_1692972272585_42,Tcwn-Ttz8,3B8PE
std_yfmH-LHpZ_1692972269261_62,yfmH-LHpZ,3B8PE
std_CUrb-n64H_1692972266360_55,CUrb-n64H,3B8PE
std_wz2T-tJpq_1692972273806_45,wz2T-tJpq,3B8PE
std_9J4g-Qtr3_1692972275464_76,9J4g-Qtr3,3B8PE
std_4n7R-4r4W_1692972272779_50,4n7R-4r4W,3B8PE
std_Ugp2-Xy4F_1692972270264_74,Ugp2-Xy4F,3B8PE
std_Rmdo-F838_1692972272072_66,Rmdo-F838,3B8PE
std_7zYu-neP2_1692972274244_70,7zYu-neP2,3B8PE
std_62nz-6Bu7_1692972269983_47,62nz-6Bu7,3B8PE
