teacherextuserid,classtitle,classcode,category,CP Association,New,Entitlement of existing students with new Pes
tch_20230825-165833_2,class_20230825-165833_2,2rAm-s963,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_1,class_20230825-165833_1,98L3-LszR,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_3,class_20230825-165833_3,dy2c-4ZdU,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_4,class_20230825-165833_4,vCAM-dc3b,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_5,class_20230825-165833_5,uxdm-yXCt,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_6,class_20230825-165833_6,GyR3-Mwqu,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_7,class_20230825-165833_7,qKtB-G3zV,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_8,class_20230825-165833_8,w4wR-9hA6,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_9,class_20230825-165833_9,Joqd-kdfQ,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_10,class_20230825-165833_10,2ZAk-f7Fq,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_11,class_20230825-165833_11,g97i-LV93,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_12,class_20230825-165833_12,kqZ3-6U4F,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_13,class_20230825-165833_13,F43K-3vHZ,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_14,class_20230825-165833_14,Cw3R-dBG3,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_15,class_20230825-165833_15,b4Q3-29rJ,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_17,class_20230825-165833_17,7drF-X6FA,3B8PE,Done,New 50 Students with All 12 Pes Bundles,Done
tch_20230825-165833_16,class_20230825-165833_16,3Tb3-nGns,3B8PE,Done,New 50 Students with Bundle 8 only,Done
tch_20230825-165833_18,class_20230825-165833_18,F2qH-i3v2,3B8PE,Done,New 50 Students with Bundle 8 only,Done
tch_20230825-165833_19,class_20230825-165833_19,BW96-jwJP,3B8PE,Done,New 50 Students with Bundle 8 only,Done
tch_20230825-165833_20,class_20230825-165833_20,28Y4-yUK4,3B8PE,Done,New 50 Students with Bundle 8 only,Done
tch_20230825-165833_22,class_20230825-165833_22,2YbC-wr2W,3B8PE,Done,"New 35 Students with All 12 Pes Bundles
New 15 students with Bundle 8 only",Done
tch_20230825-165833_21,class_20230825-165833_21,8E2K-L3jW,3B8PE,Done,"New 35 Students with All 12 Pes Bundles
New 15 students with Bundle 8 only",Done
tch_20230825-165833_24,class_20230825-165833_24,XNuv-Qn84,3B8PE,Done,"New 35 Students with All 12 Pes Bundles
New 15 students with Bundle 8 only",Done
tch_20230825-165833_23,class_20230825-165833_23,3XmT-Fc9w,3B8PE,Done,"New 35 Students with All 12 Pes Bundles
New 15 students with Bundle 8 only",Done
tch_20230825-165833_25,class_20230825-165833_25,W289-uN32,3B8PE,Done,,Done
tch_20230825-165833_26,class_20230825-165833_26,yD2Q-G8Ut,3B8PE,Done,,Done
tch_20230825-165833_27,class_20230825-165833_27,Fg9B-7TnN,3B8PE,Done,,Done
tch_20230825-165833_28,class_20230825-165833_28,6iev-7dNn,3B8PE,Done,,Done
tch_20230825-165833_29,class_20230825-165833_29,e6gd-N9By,3B8PE,Done,,Done
tch_20230825-165833_30,class_20230825-165833_30,WEM3-6Dr4,3B8PE,Done,,Done
tch_20230825-165833_31,class_20230825-165833_31,2Y64-9W4v,3B8PE,Done,,Done
tch_20230825-165833_33,class_20230825-165833_33,JCg9-U9E9,3B8PE,Done,,Done
tch_20230825-165833_32,class_20230825-165833_32,2tc6-7hKt,3B8PE,Done,,Done
tch_20230825-165833_34,class_20230825-165833_34,bGDM-H29x,3B8PE,Done,,Done
