extuserid,studentuserid1,studentext,classcode
tch_20231113-132202_42,c4fe794f-2af9-4409-8363-567a0d78774f,std_1699951210703_25,KUvs-JfBz
tch_20231113-132202_35,65c38e9a-d98c-4fd6-b1d8-6467e37ab1ce,std_1699951214840_23,8424-P2J4
tch_20231113-132202_29,c2f6c077-53ec-4f7f-946a-232fadebbd15,std_1699951211297_20,29yF-hR8G
tch_20231113-132202_33,1dcdd9d7-3d8f-4db8-9b39-6d80c46d3e54,std_1699951216273_11,48Dp-7Yrx
tch_20231113-132202_34,cfd85fb3-60ce-479f-b8f5-c431b3a42c4b,std_1699951214884_1,m9KX-wB86
tch_20231113-132202_52,059a824c-8d9d-4ec7-b532-da213fe0062b,std_1699951215900_18,2i3j-Vxt9
tch_20231113-132202_36,94191687-d30b-4850-9768-2351e22fb977,std_1699951217657_2,37AF-zQk9
tch_20231113-132202_50,6d9e6b8f-db6c-486a-9ca9-b551344fa269,std_1699951212994_28,9kDo-Pqzh
tch_20231113-132202_44,7d0889f1-2229-4d64-b061-8b1d590954c6,std_1699951220940_26,b2dp-PRNp
tch_20231113-132202_51,8b1be219-84d6-4697-9322-351b333046e4,std_1699951214015_17,ajPr-2q4X
tch_20231113-132202_43,3c57caed-a884-47a0-9ab7-a769f97bb025,std_1699951215910_14,4R4e-F2Ex
tch_20231113-132202_38,8b38be3d-51f6-4c86-a465-6144886f6098,std_1699951216946_12,7Foh-jZQH
tch_20231113-132202_30,076de963-6525-470c-b801-d77466f4b81c,std_1699951221770_21,FaL4-e6F6
tch_20231113-132202_46,3f92bc51-8fb9-4cea-9336-9c846638f72e,std_1699951220525_5,P9As-2CVs
tch_20231113-132202_53,03a97210-136b-47a2-ae14-0791637b5301,std_1699951220308_7,N9vX-63Z7
tch_20231113-132202_41,66f0f23d-d259-4494-81b6-1432631cace8,std_1699951221829_13,L943-qZv6
tch_20231113-132202_45,eaddf7c5-e5a9-42d6-8524-9ef29a540b9a,std_1699951226028_15,7gGU-k8cG
tch_20231113-132202_37,75310198-3332-4814-b6c3-2ba89159d3c4,std_1699951221522_3,uxjn-iD49
tch_20231113-132202_55,4b8faada-6c96-4f05-a912-66512fc1caae,std_1699951226264_8,JhoH-o8ND
tch_20231113-132202_40,f4bf9b19-cb5f-470a-bfbb-25ce0ed543a0,std_1699951223922_24,69FJ-2zBY
tch_20231113-132202_54,e8429654-4c99-4901-b4ca-694a8cf7da30,std_1699951222994_29,toE7-vEsW
tch_20231113-132202_48,b014e1a4-b61f-4dc9-afc6-eecfd33231d4,std_1699951228273_16,Y6pe-iAvT
tch_20231113-132202_56,abb12d23-bfca-4d87-b142-7a9c61daa68e,std_1699951230150_19,Dwo6-yfod
tch_20231113-132202_31,55c6b621-4578-47e0-9782-61fe97358736,std_1699951231079_10,C78y-UNvM
tch_20231113-132202_39,96f1aa4f-8cd7-49ec-9726-b3d6f7cd5ba6,std_1699951228092_4,zb6Z-XE26
tch_20231113-132202_57,fc81b945-e3ff-49ca-9abb-968c2101b616,std_1699951232994_30,6H2U-zCd8
tch_20231113-132202_32,67827106-0d4e-46ac-a0eb-7f0b963305aa,std_1699951235087_22,C3Ei-8f4C
tch_20231113-132202_42,8fd78764-79d9-4700-a256-164b172f9c87,std_1699951236458_25,KUvs-JfBz
tch_20231113-132202_47,698af1d3-9b98-4ea1-a6e1-2ecc2f32f22a,std_1699951234058_27,s9AW-P2H6
tch_20231113-132202_49,557718ee-c624-4807-81f4-ed255df38a3a,std_1699951234067_6,kBKQ-7HF3
tch_20231113-132202_58,797dfb70-8d37-4272-9484-7b234797ac23,std_1699951234430_9,7r3x-yWse
tch_20231113-132202_35,a4f27bab-6113-449a-8db8-b539eaedf6b9,std_1699951237660_23,8424-P2J4
tch_20231113-132202_52,450abc10-dbde-40df-b855-9228d0c6099a,std_1699951242690_18,2i3j-Vxt9
tch_20231113-132202_36,07956508-6474-44d6-a5a9-968d4e7b694b,std_1699951243090_2,37AF-zQk9
tch_20231113-132202_59,07b0c78e-f974-4134-98ee-2478e328f9dc,std_1699951240389_20,V9vs-KU4c
