extuserid,groupid,tchextuserid
std_1699862606359_39,2553ee3a-2ca9-496b-bf66-f053fa859cee,tch_20231113-132202_39
std_1699862604738_40,a1390af1-cdb2-47cc-9870-b0ce971fa657,tch_20231113-132202_40
std_1699862810312_35,4933a0a9-c317-4e30-a897-2dfbb8808493,tch_20231113-132202_35
std_1699862497795_42,bd30a623-f7ef-4d67-9c96-d8dfdfae2bea,tch_20231113-132202_42
std_1699862724155_38,a40c5ae7-f100-4740-83ca-73beab2540ad,tch_20231113-132202_38
std_1699862508666_43,b2ef3be5-e50a-4d57-99fa-6ab043fc2366,tch_20231113-132202_43
std_1699862614741_41,5413ac93-9e2e-4c78-afa1-6215d69705e7,tch_20231113-132202_41
std_1699862833870_37,c4582b49-8d65-4507-a4c6-2ed837c37cd8,tch_20231113-132202_37
std_1699862829421_36,63cde813-a320-4155-97d1-89dd117afc73,tch_20231113-132202_36
std_1699862727473_39,cd650221-663d-4648-b331-f82c7a46dc3a,tch_20231113-132202_39
std_1699862514357_44,15cb4347-b4b5-46f2-a161-2753f13af8e5,tch_20231113-132202_44
std_1699862738576_40,7eb7f95a-7fb8-4250-b2bb-139a18d4013c,tch_20231113-132202_40
std_1699862625586_42,1a08defa-6348-42ee-9ca3-0e6024425475,tch_20231113-132202_42
std_1699862522943_45,0d98a8e1-ebfa-4c26-af0d-aedbb9683c36,tch_20231113-132202_45
std_1699862857203_38,cbf93349-23de-4600-9fe6-d25eb0c11407,tch_20231113-132202_38
std_1699862532027_46,c7fa1c9b-cbe1-472b-bab2-37ab4be00162,tch_20231113-132202_46
std_1699862754706_41,7f8b7f72-3673-490c-a5e8-8f4b7f2231f0,tch_20231113-132202_41
std_1699862636194_43,c8eb4d9d-0448-4460-b165-db6b9e13c692,tch_20231113-132202_43
std_1699862863556_39,3fcc68f6-e365-4a3f-a7ec-3d56771f3e96,tch_20231113-132202_39
std_1699862648905_44,4f3ef2ab-e842-4825-8f00-bd1818d02aa7,tch_20231113-132202_44
std_1699862866314_40,90c484ce-5e26-4908-b310-2e20a440a869,tch_20231113-132202_40
std_1699862553161_47,3e32bceb-dcdf-41a1-bc35-88e55167b132,tch_20231113-132202_47
std_1699862764204_42,0c14a021-e79f-494f-893e-91db2ddee007,tch_20231113-132202_42
std_1699862654250_45,c03db89a-d551-4a69-81cc-a1e08ad8549d,tch_20231113-132202_45
std_1699862669514_46,336109d6-04bf-42ff-a14f-523e05ff61dd,tch_20231113-132202_46
std_1699862562085_49,03d645eb-778e-4bcc-baa6-430a9f68e2b1,tch_20231113-132202_49
std_1699862774985_43,5669d1b2-526b-41c6-a5e0-81c2db9cf5c8,tch_20231113-132202_43
std_1699862885653_41,85d2ee26-d9c8-4273-8122-b8952c025ab4,tch_20231113-132202_41
std_1699862555516_48,ce0c9ec2-35fb-4085-bbf6-c913b5dfa5e0,tch_20231113-132202_48
std_1699862787083_44,545d49ce-e82b-4bd3-b281-e7ca45a20604,tch_20231113-132202_44
std_1699862679478_47,33c2b4e6-3d73-4e36-a68c-9de05c2379c4,tch_20231113-132202_47
std_1699862893697_42,1a0fa65f-a2be-468a-91f9-99d0cff403fb,tch_20231113-132202_42
std_1699862575690_50,fca6f893-8d4a-4067-90bc-9a53aa5d281c,tch_20231113-132202_50
std_1699862793085_45,f475208b-6da5-48e9-8019-62cf7045367c,tch_20231113-132202_45
std_1699862800056_46,5b156d30-b863-415f-977c-76aafabfab32,tch_20231113-132202_46
std_1699862905154_43,bc89061c-5b05-4a9d-815b-19324755c4eb,tch_20231113-132202_43
std_1699862693219_49,4d4d9ba5-b04a-4c1d-a5e1-f2ec06d7a6a8,tch_20231113-132202_49
std_1699862596873_51,2c435415-5135-4177-b163-84aaee4ed2cb,tch_20231113-132202_51
std_1699862590836_52,916bc6d0-02c8-4f1e-9b2f-de95396583a4,tch_20231113-132202_52
std_1699862687591_48,ffd7647c-af83-485b-8c51-43008932d56f,tch_20231113-132202_48
std_1699862916511_44,6847e2d0-1903-4a62-8c5c-2a1a9e90a610,tch_20231113-132202_44
std_1699862821190_47,2c57b0c1-bdf1-40ad-9ed3-36b8885efc5e,tch_20231113-132202_47
std_1699862712827_50,552bdcf2-1149-4598-a288-c0577aca4903,tch_20231113-132202_50
std_1699862925312_45,444b0a21-9577-4f7a-bb3e-bb0b97aa2fd9,tch_20231113-132202_45
std_1699862932323_46,392a8895-70d4-45e0-9591-092912c164fa,tch_20231113-132202_46
std_1699862724423_51,7f5511ed-6e91-405b-8292-58ed60692640,tch_20231113-132202_51
std_1699862822870_49,9375290c-3225-4b6f-a7e2-29ccd152d3d6,tch_20231113-132202_49
std_1699862723809_52,742b58c5-640d-4eda-b334-fd0e1e32d871,tch_20231113-132202_52
std_1699862624711_54,64d62929-9ad8-4cf8-9cba-1e482311a16e,tch_20231113-132202_54
std_1699862823712_48,10ca75cd-9aa6-4d69-a83b-aa539c78f444,tch_20231113-132202_48
std_1699862615790_53,5c94047e-7929-408a-8853-43dcf458e2ea,tch_20231113-132202_53
std_1699862950382_47,9e95f72a-f11a-4cac-84b5-9ae76c49275c,tch_20231113-132202_47
std_1699862841405_50,0066f92a-8401-4448-8579-541a0077e1a7,tch_20231113-132202_50
std_1699862623556_55,f1b6211b-7764-4f56-8c53-f94594902281,tch_20231113-132202_55
std_1699862960996_49,325287fb-d16b-4090-a0e6-b5a26cf6b582,tch_20231113-132202_49
std_1699862638513_56,1d18e366-3280-48c6-a66a-95b8c5fe75e1,tch_20231113-132202_56
std_1699862849466_51,c70c9d8f-c3df-4fc2-a13c-db200328764e,tch_20231113-132202_51
std_1699862862305_52,b4f3a3d4-eb1c-4dc5-87c7-d5b52273b27c,tch_20231113-132202_52
std_1699862760563_54,92f9c946-0909-4f67-8922-0ba661d3b460,tch_20231113-132202_54
std_1699862641025_57,04388b51-9651-4b91-bc16-f901fa39feba,tch_20231113-132202_57
std_1699862960996_48,477ee10b-b94b-4ded-9556-6413c558f01b,tch_20231113-132202_48
std_1699862746764_53,23f144f4-12b9-42c7-a037-4711ebccd05c,tch_20231113-132202_53
std_1699862975735_50,61c1c491-0916-4cd7-86c0-0ffb2d4bf706,tch_20231113-132202_50
std_1699862678434_60,4f16c71a-a34f-4207-9881-421c0f9c004d,tch_20231113-132202_60
std_1699862656707_58,5b7fa959-d49c-41f5-b3f2-47694538ce5b,tch_20231113-132202_58
std_1699862773898_56,21a78839-e540-44ad-8e64-642d22fd200e,tch_20231113-132202_56
std_1699862758991_55,952cfe40-c9a2-41ea-bf13-ecd884c1762d,tch_20231113-132202_55
std_1699862990667_52,4aaa6d79-7ff1-47a0-a458-bb7b77897165,tch_20231113-132202_52
std_1699862986237_51,a66af428-4e73-4fb9-9b53-706ff10995fb,tch_20231113-132202_51
std_1699862892298_54,e0ca3e42-1b32-41c7-a7de-329bf2da4e5f,tch_20231113-132202_54
std_1699862675110_61,090842ae-294e-4416-ba2c-1f7c17ce80ab,tch_20231113-132202_61
std_1699862677756_59,7d4bdd00-749d-455c-ace1-e280967a0fe9,tch_20231113-132202_59
std_1699862775060_57,2da869a3-da9a-46f3-8097-0e796f76320d,tch_20231113-132202_57
std_1699862880873_53,13b0a41d-f69a-477d-a2aa-b6591a9f410c,tch_20231113-132202_53
std_1699862800947_60,b78cc3a2-caf3-4a2f-b269-8fd80d46a5a6,tch_20231113-132202_60
std_1699862700929_62,a4003506-3569-4a75-9dc9-3c8d777669b1,tch_20231113-132202_62
std_1699862889483_55,b6130503-7836-441d-85f3-50f39fc8dfe2,tch_20231113-132202_55
std_1699862793380_58,b7201050-a44c-41d0-8b41-0a68b7e6c533,tch_20231113-132202_58
std_1699862906291_56,2e213446-97e9-41f3-9289-a02c9742ceb6,tch_20231113-132202_56
std_1699862806845_61,c1974c55-fcb7-4e75-ad4b-4973385d2e9c,tch_20231113-132202_61
std_1699863018158_54,b51f7002-a3a0-4489-ae2a-16ed4933fdd0,tch_20231113-132202_54
std_1699862807800_59,a3a76ee6-d4ae-4e70-a17b-8b5ad3e9cc73,tch_20231113-132202_59
std_1699862910140_57,c8c328b2-8a78-428a-a9a2-479357ebb38d,tch_20231113-132202_57
std_1699863018069_53,2d589d5f-a94c-4045-95a6-570a9623650f,tch_20231113-132202_53
std_1699862931658_60,0972ccd0-6e64-4526-96eb-9f357dc5d45c,tch_20231113-132202_60
std_1699862826509_62,b48a9228-a738-4adb-8799-ee650f7a3981,tch_20231113-132202_62
std_1699862714600_64,5c6bf39c-731c-4384-a6ea-f4175c9316fa,tch_20231113-132202_64
std_1699862929733_58,971d1103-e897-4fef-b82c-e1e78c9d82c7,tch_20231113-132202_58
std_1699863032052_55,c9905247-b9fc-4cef-8ad9-149a0f552656,tch_20231113-132202_55
std_1699863037621_56,81c6cfec-2cbe-4730-819b-7844c6de5c15,tch_20231113-132202_56
std_1699862710960_63,00601eeb-3fba-44ad-af5f-a66e4d1e0ada,tch_20231113-132202_63
std_1699862943277_61,10cca070-65f6-45fa-9175-e71cd9458999,tch_20231113-132202_61
std_1699863044032_57,b26ef791-78f2-48e1-bb37-b961c63c92fa,tch_20231113-132202_57
std_1699862939778_59,d786ed97-1d5c-4b21-b214-037e4777e270,tch_20231113-132202_59
std_1699862737426_65,3062ed16-ec65-463a-81d5-5e387aabde0f,tch_20231113-132202_65
std_1699863059411_60,a97fdf61-7d78-4f5f-8fe7-939c0ce9d648,tch_20231113-132202_60
std_1699862953290_62,e2c8b16f-e078-46f8-b22d-65ca12bb669a,tch_20231113-132202_62
std_1699862846661_64,b136e4ca-aa54-4559-b30e-5e16f3e47cf2,tch_20231113-132202_64
std_1699863064374_58,15c7f34e-ccd7-4d9e-8218-946a23697067,tch_20231113-132202_58
std_1699862846208_63,2353dca7-35ce-4ea2-9c92-c388d4f54db4,tch_20231113-132202_63
std_1699862758493_68,545e6015-af9c-4dee-8efa-60ebac947839,tch_20231113-132202_68
std_1699862746764_67,1fd91b33-7e98-40cb-98f2-5b1c79c78f34,tch_20231113-132202_67
std_1699863074273_61,8525a46f-52be-406d-b208-f418900e39d1,tch_20231113-132202_61
std_1699862746511_66,f755ff4a-c11d-474d-ad86-bf4262490b1a,tch_20231113-132202_66
std_1699863074048_59,4e39254d-5302-48ac-891a-9610bd11b119,tch_20231113-132202_59
std_1699862866374_65,c3db7369-e673-4c59-9a71-775972cd19a6,tch_20231113-132202_65
std_1699862976778_64,cf8c94b1-8e9f-4f2d-83e9-0234eb0825a8,tch_20231113-132202_64
std_1699862761516_69,e6164b73-9007-436b-b9dc-0490dc8ddb3a,tch_20231113-132202_69
std_1699863082766_62,a8891958-de72-42d0-8f1c-1834b35bbbe5,tch_20231113-132202_62
std_1699862978579_63,2b0a2be2-0ac5-4f51-86f3-a8bba73c92af,tch_20231113-132202_63
std_1699862892957_68,a1742e44-70e4-4dbf-ad83-e2d86115bbc4,tch_20231113-132202_68
std_1699862882530_67,4f6cef33-badd-496b-b056-3773b4d74c41,tch_20231113-132202_67
std_1699862881916_66,751eb3b8-3c04-4064-a6b5-598276518b96,tch_20231113-132202_66
std_1699862996146_65,62d6e42b-146c-4808-994f-1f0152963762,tch_20231113-132202_65
std_1699863110102_64,63a4d503-3c54-4119-9a66-ddf5f983a930,tch_20231113-132202_64
std_1699862887909_69,b886375a-8c64-4753-a42f-261cf263465a,tch_20231113-132202_69
std_1699862793262_71,5f4664a8-73bc-4403-b892-f5fc504e53c8,tch_20231113-132202_71
std_1699862785868_70,a0d3e110-83f8-4856-8b1c-bea8bebbf3c3,tch_20231113-132202_70
std_1699863015350_67,d42273fd-3e46-42d5-bb7f-67adcff1d7b0,tch_20231113-132202_67
std_1699863115754_63,8d76592a-b1e2-4d55-bd9e-8a3d2e44f577,tch_20231113-132202_63
