teacherextuserid,classtitle,classcode,category
tch_20230823-172858_1,class_20230823-172858_1,LkTK-wP9i,3B8PE
tch_20230823-172858_2,class_20230823-172858_2,4z8v-JNk7,3B8PE
tch_20230823-172858_4,class_20230823-172858_4,Cyw7-CW39,3B8PE
tch_20230823-172858_3,class_20230823-172858_3,uHmz-REM9,3B8PE
tch_20230823-172858_7,class_20230823-172858_7,o68A-wm7t,3B8PE
tch_20230823-172858_10,class_20230823-172858_10,zsvw-hsH7,3B8PE
tch_20230823-172858_5,class_20230823-172858_5,cr4X-bD96,3B8PE
tch_20230823-172858_6,class_20230823-172858_6,7GBX-7jVt,3B8PE
tch_20230823-172858_9,class_20230823-172858_9,49CD-274g,3B8PE
tch_20230823-172858_8,class_20230823-172858_8,KzDf-ytu7,3B8PE
tch_20230823-172858_15,class_20230823-172858_15,g3wQ-nm7N,3B8PE
tch_20230823-172858_11,class_20230823-172858_11,2tRp-3fta,3B8PE
tch_20230823-172858_12,class_20230823-172858_12,cLyd-cwnD,3B8PE
tch_20230823-172858_17,class_20230823-172858_17,xmJs-8zgj,3B8PE
tch_20230823-172858_13,class_20230823-172858_13,KBWf-8MZR,3B8PE
tch_20230823-172858_14,class_20230823-172858_14,oRcw-G3T2,3B8PE
tch_20230823-172858_20,class_20230823-172858_20,RzUE-6jsW,3B8PE
tch_20230823-172858_21,class_20230823-172858_21,k6cj-wFH8,3B8PE
tch_20230823-172858_16,class_20230823-172858_16,gfsA-PiNF,3B8PE
tch_20230823-172858_18,class_20230823-172858_18,e9Gj-QsLr,3B8PE
tch_20230823-172858_19,class_20230823-172858_19,mur8-6kAE,3B8PE
tch_20230823-172858_22,class_20230823-172858_22,W7hk-q9dq,3B8PE
tch_20230823-172858_26,class_20230823-172858_26,K72m-Hzes,3B8PE
tch_20230823-172858_23,class_20230823-172858_23,Kzv6-egRm,3B8PE
tch_20230823-172858_28,class_20230823-172858_28,7j8w-LAaJ,3B8PE
tch_20230823-172858_24,class_20230823-172858_24,TWRt-jYsf,3B8PE
tch_20230823-172858_27,class_20230823-172858_27,f6vb-3ZHC,3B8PE
tch_20230823-172858_25,class_20230823-172858_25,Ej2D-ugd7,3B8PE
tch_20230823-172858_29,class_20230823-172858_29,a4RE-jCa8,3B8PE
tch_20230823-172858_31,class_20230823-172858_31,osZs-Dg2f,3B8PE
tch_20230823-172858_37,class_20230823-172858_37,rx2Q-2rTj,3B8PE
tch_20230823-172858_30,class_20230823-172858_30,ogoi-Ng2c,3B8PE
tch_20230823-172858_34,class_20230823-172858_34,a3Qt-W8fJ,3B8PE
tch_20230823-172858_33,class_20230823-172858_33,UX9F-zjqR,3B8PE
tch_20230823-172858_32,class_20230823-172858_32,sjEa-873u,3B8PE
tch_20230823-172858_40,class_20230823-172858_40,4QnV-6o7J,3B8PE
tch_20230823-172858_36,class_20230823-172858_36,4eCi-uruH,3B8PE
tch_20230823-172858_35,class_20230823-172858_35,bq2L-oUez,3B8PE
tch_20230823-172858_38,class_20230823-172858_38,C7Js-HLVZ,3B8PE
tch_20230823-172858_41,class_20230823-172858_41,pe76-Wrgu,3B8PE
tch_20230823-172858_39,class_20230823-172858_39,Upb7-47vB,3B8PE
tch_20230823-172858_42,class_20230823-172858_42,T9wm-X84c,3B8PE
tch_20230823-172858_44,class_20230823-172858_44,7wLZ-64TZ,3B8PE
tch_20230823-172858_47,class_20230823-172858_47,Hq6H-4Ecv,3B8PE
tch_20230823-172858_43,class_20230823-172858_43,er6e-AePU,3B8PE
tch_20230823-172858_45,class_20230823-172858_45,t2nD-E9gU,3B8PE
