extuserid,classcode,category
std_nEgv-nMRZ_1692965977680_77,nEgv-nMRZ,3B8PE
std_Mr6i-2tpR_1692965979900_70,Mr6i-2tpR,3B8PE
std_gQTU-phJQ_1692965972225_67,gQTU-phJQ,3B8PE
std_mWy4-gkh2_1692965979395_71,mWy4-gkh2,3B8PE
std_8BzY-Tvjf_1692965983162_49,8BzY-Tvjf,3B8PE
std_TWZR-dypg_1692965975044_66,TWZR-dypg,3B8PE
std_oU9X-9T43_1692965979363_62,oU9X-9T43,3B8PE
std_g8Zp-3m9W_1692965980926_69,g8Zp-3m9W,3B8PE
std_vLs6-9moZ_1692965984626_79,vLs6-9moZ,3B8PE
std_93Kb-iyF3_1692965984837_45,93Kb-iyF3,3B8PE
std_LTkt-dgtD_1692965981529_68,LTkt-dgtD,3B8PE
std_94s3-fvX8_1692965983055_80,94s3-fvX8,3B8PE
std_wuR6-3j7W_1692965981159_65,wuR6-3j7W,3B8PE
std_qa6d-8FtA_1692965984549_73,qa6d-8FtA,3B8PE
std_aU38-G8mz_1692965983880_81,aU38-G8mz,3B8PE
std_Bph4-9v4A_1692965985346_58,Bph4-9v4A,3B8PE
std_qWn7-4wNp_1692965986000_78,qWn7-4wNp,3B8PE
std_43Td-uR8H_1692965982127_53,43Td-uR8H,3B8PE
std_4goy-LM3M_1692965988741_42,4goy-LM3M,3B8PE
std_Tsic-9fb3_1692965985579_60,Tsic-9fb3,3B8PE
std_gi7p-4WCe_1692965983292_83,gi7p-4WCe,3B8PE
std_6a7w-VB42_1692965984789_64,6a7w-VB42,3B8PE
std_dg7r-yp46_1692965988882_61,dg7r-yp46,3B8PE
std_BAKa-hoys_1692965994765_44,BAKa-hoys,3B8PE
std_Fu6h-9Fde_1692965994845_74,Fu6h-9Fde,3B8PE
std_J2CB-Ymk3_1692965988437_54,J2CB-Ymk3,3B8PE
std_8kU6-Wt32_1692965997555_48,8kU6-Wt32,3B8PE
std_96nr-379m_1692965992091_82,96nr-379m,3B8PE
std_uzQx-9xJn_1692965999639_56,uzQx-9xJn,3B8PE
std_aXH7-hqYg_1692965993542_46,aXH7-hqYg,3B8PE
std_goVE-uU7o_1692965995598_55,goVE-uU7o,3B8PE
std_73w4-NY9R_1692965996088_50,73w4-NY9R,3B8PE
std_ZE37-yw48_1692965995436_75,ZE37-yw48,3B8PE
std_YUMH-8BR6_1692965999453_47,YUMH-8BR6,3B8PE
std_wpix-G7Xw_1692965996877_59,wpix-G7Xw,3B8PE
std_NfHf-yk2W_1692965999092_43,NfHf-yk2W,3B8PE
std_9tkp-HZp6_1692965997114_52,9tkp-HZp6,3B8PE
std_mG8n-tcJV_1692966001177_72,mG8n-tcJV,3B8PE
std_Uf8M-2TfE_1692965995689_41,Uf8M-2TfE,3B8PE
std_8B8W-Hc2d_1692966004858_40,8B8W-Hc2d,3B8PE
std_9sm2-CDch_1692966003509_63,9sm2-CDch,3B8PE
std_g8Zp-3m9W_1692966008216_69,g8Zp-3m9W,3B8PE
std_2qKT-pN9n_1692966000220_51,2qKT-pN9n,3B8PE
std_oU9X-9T43_1692966008195_62,oU9X-9T43,3B8PE
std_nEgv-nMRZ_1692966004866_77,nEgv-nMRZ,3B8PE
std_94s3-fvX8_1692966009823_80,94s3-fvX8,3B8PE
std_gQTU-phJQ_1692966005186_67,gQTU-phJQ,3B8PE
std_LoNY-ZLA2_1692966004352_57,LoNY-ZLA2,3B8PE
std_mWy4-gkh2_1692966005201_71,mWy4-gkh2,3B8PE
std_6s24-78p7_1692966002873_76,6s24-78p7,3B8PE
std_Bph4-9v4A_1692966013826_58,Bph4-9v4A,3B8PE
std_Mr6i-2tpR_1692966005038_70,Mr6i-2tpR,3B8PE
std_vLs6-9moZ_1692966009098_79,vLs6-9moZ,3B8PE
std_8BzY-Tvjf_1692966007330_49,8BzY-Tvjf,3B8PE
std_LTkt-dgtD_1692966009545_68,LTkt-dgtD,3B8PE
std_4goy-LM3M_1692966015515_42,4goy-LM3M,3B8PE
std_TWZR-dypg_1692966008073_66,TWZR-dypg,3B8PE
std_qWn7-4wNp_1692966014747_78,qWn7-4wNp,3B8PE
std_qa6d-8FtA_1692966011128_73,qa6d-8FtA,3B8PE
std_93Kb-iyF3_1692966009180_45,93Kb-iyF3,3B8PE
std_Tsic-9fb3_1692966016528_60,Tsic-9fb3,3B8PE
std_wuR6-3j7W_1692966011087_65,wuR6-3j7W,3B8PE
std_aU38-G8mz_1692966011497_81,aU38-G8mz,3B8PE
std_dg7r-yp46_1692966018579_61,dg7r-yp46,3B8PE
std_BAKa-hoys_1692966019056_44,BAKa-hoys,3B8PE
std_43Td-uR8H_1692966014919_53,43Td-uR8H,3B8PE
std_96nr-379m_1692966023899_82,96nr-379m,3B8PE
std_gi7p-4WCe_1692966016542_83,gi7p-4WCe,3B8PE
std_6a7w-VB42_1692966018009_64,6a7w-VB42,3B8PE
std_Fu6h-9Fde_1692966020510_74,Fu6h-9Fde,3B8PE
std_8kU6-Wt32_1692966023545_48,8kU6-Wt32,3B8PE
std_9tkp-HZp6_1692966027837_52,9tkp-HZp6,3B8PE
std_mG8n-tcJV_1692966028477_72,mG8n-tcJV,3B8PE
std_J2CB-Ymk3_1692966021547_54,J2CB-Ymk3,3B8PE
std_73w4-NY9R_1692966026342_50,73w4-NY9R,3B8PE
std_goVE-uU7o_1692966025972_55,goVE-uU7o,3B8PE
std_aXH7-hqYg_1692966025220_46,aXH7-hqYg,3B8PE
std_9sm2-CDch_1692966029925_63,9sm2-CDch,3B8PE
std_ZE37-yw48_1692966027199_75,ZE37-yw48,3B8PE
std_uzQx-9xJn_1692966024011_56,uzQx-9xJn,3B8PE
std_oU9X-9T43_1692966033512_62,oU9X-9T43,3B8PE
std_NfHf-yk2W_1692966027662_43,NfHf-yk2W,3B8PE
std_YUMH-8BR6_1692966027283_47,YUMH-8BR6,3B8PE
std_nEgv-nMRZ_1692966034142_77,nEgv-nMRZ,3B8PE
std_wpix-G7Xw_1692966027615_59,wpix-G7Xw,3B8PE
std_Bph4-9v4A_1692966037297_58,Bph4-9v4A,3B8PE
std_6s24-78p7_1692966036042_76,6s24-78p7,3B8PE
std_3tLo-a8p2_1692966030011_84,3tLo-a8p2,3B8PE
std_2qKT-pN9n_1692966032144_51,2qKT-pN9n,3B8PE
std_g8Zp-3m9W_1692966031830_69,g8Zp-3m9W,3B8PE
std_8BzY-Tvjf_1692966039330_49,8BzY-Tvjf,3B8PE
std_qWn7-4wNp_1692966041307_78,qWn7-4wNp,3B8PE
std_94s3-fvX8_1692966034626_80,94s3-fvX8,3B8PE
std_mWy4-gkh2_1692966035712_71,mWy4-gkh2,3B8PE
std_qa6d-8FtA_1692966041997_73,qa6d-8FtA,3B8PE
std_4goy-LM3M_1692966039745_42,4goy-LM3M,3B8PE
std_gQTU-phJQ_1692966034702_67,gQTU-phJQ,3B8PE
std_LTkt-dgtD_1692966039442_68,LTkt-dgtD,3B8PE
std_Mr6i-2tpR_1692966037795_70,Mr6i-2tpR,3B8PE
std_LoNY-ZLA2_1692966034857_57,LoNY-ZLA2,3B8PE
std_93Kb-iyF3_1692966042336_45,93Kb-iyF3,3B8PE
std_Tsic-9fb3_1692966043325_60,Tsic-9fb3,3B8PE
std_vLs6-9moZ_1692966038332_79,vLs6-9moZ,3B8PE
std_TWZR-dypg_1692966040494_66,TWZR-dypg,3B8PE
std_aU38-G8mz_1692966043938_81,aU38-G8mz,3B8PE
std_dg7r-yp46_1692966044670_61,dg7r-yp46,3B8PE
std_wuR6-3j7W_1692966043612_65,wuR6-3j7W,3B8PE
std_BAKa-hoys_1692966044947_44,BAKa-hoys,3B8PE
std_gi7p-4WCe_1692966048035_83,gi7p-4WCe,3B8PE
std_6a7w-VB42_1692966049479_64,6a7w-VB42,3B8PE
std_J2CB-Ymk3_1692966053024_54,J2CB-Ymk3,3B8PE
std_goVE-uU7o_1692966054412_55,goVE-uU7o,3B8PE
std_43Td-uR8H_1692966046628_53,43Td-uR8H,3B8PE
std_96nr-379m_1692966047412_82,96nr-379m,3B8PE
std_9sm2-CDch_1692966056119_63,9sm2-CDch,3B8PE
std_73w4-NY9R_1692966053977_50,73w4-NY9R,3B8PE
std_Fu6h-9Fde_1692966051297_74,Fu6h-9Fde,3B8PE
std_9tkp-HZp6_1692966052849_52,9tkp-HZp6,3B8PE
std_mG8n-tcJV_1692966053023_72,mG8n-tcJV,3B8PE
std_8kU6-Wt32_1692966052824_48,8kU6-Wt32,3B8PE
