extuserid,itemcode
perf_std_ch10_1611_1_1,156275211655615627521966161566199232066
perf_std_ch10_1611_1_2,156275211655615627521966161566199232066
perf_std_ch10_1611_1_3,156275211655615627521966161566199232066
perf_std_ch10_1611_1_4,156275211655615627521966161566199232066
perf_std_ch10_1611_1_5,156275211655615627521966161566199232066
perf_std_ch10_1611_1_6,156275211655615627521966161566199232066
perf_std_ch10_1611_1_7,156275211655615627521966161566199232066
perf_std_ch10_1611_1_8,156275211655615627521966161566199232066
perf_std_ch10_1611_1_9,156275211655615627521966161566199232066
perf_std_ch10_1611_1_10,156275211655615627521966161566199232066
perf_std_ch10_1611_1_11,156275211655615627521966161566199232066
perf_std_ch10_1611_1_12,156275211655615627521966161566199232066
perf_std_ch10_1611_1_13,156275211655615627521966161566199232066
perf_std_ch10_1611_1_14,156275211655615627521966161566199232066
perf_std_ch10_1611_1_15,156275211655615627521966161566199232066
perf_std_ch10_1611_1_16,156275211655615627521966161566199232066
perf_std_ch10_1611_1_17,156275211655615627521966161566199232066
perf_std_ch10_1611_1_18,156275211655615627521966161566199232066
perf_std_ch10_1611_1_19,156275211655615627521966161566199232066
perf_std_ch10_1611_1_20,156275211655615627521966161566199232066
perf_std_ch10_1611_1_21,156275211655615627521966161566199232066
perf_std_ch10_1611_1_22,156275211655615627521966161566199232066
perf_std_ch10_1611_1_23,156275211655615627521966161566199232066
perf_std_ch10_1611_1_24,156275211655615627521966161566199232066
perf_std_ch10_1611_1_25,156275211655615627521966161566199232066
perf_std_ch10_1611_1_26,156275211655615627521966161566199232066
perf_std_ch10_1611_1_27,156275211655615627521966161566199232066
perf_std_ch10_1611_1_28,156275211655615627521966161566199232066
perf_std_ch10_1611_1_29,156275211655615627521966161566199232066
perf_std_ch10_1611_1_30,156275211655615627521966161566199232066
perf_std_ch10_1611_1_31,156275211655615627521966161566199232066
perf_std_ch10_1611_1_32,156275211655615627521966161566199232066
perf_std_ch10_1611_1_33,156275211655615627521966161566199232066
perf_std_ch10_1611_1_34,156275211655615627521966161566199232066
perf_std_ch10_1611_1_35,156275211655615627521966161566199232066
perf_std_ch10_1611_1_36,156275211655615627521966161566199232066
perf_std_ch10_1611_1_37,156275211655615627521966161566199232066
perf_std_ch10_1611_1_38,156275211655615627521966161566199232066
perf_std_ch10_1611_1_39,156275211655615627521966161566199232066
perf_std_ch10_1611_1_40,156275211655615627521966161566199232066
perf_std_ch10_1611_1_41,156275211655615627521966161566199232066
perf_std_ch10_1611_1_42,156275211655615627521966161566199232066
perf_std_ch10_1611_1_43,156275211655615627521966161566199232066
perf_std_ch10_1611_1_44,156275211655615627521966161566199232066
perf_std_ch10_1611_1_45,156275211655615627521966161566199232066
perf_std_ch10_1611_1_46,156275211655615627521966161566199232066
perf_std_ch10_1611_1_47,156275211655615627521966161566199232066
perf_std_ch10_1611_1_48,156275211655615627521966161566199232066
perf_std_ch10_1611_1_49,156275211655615627521966161566199232066
perf_std_ch10_1611_1_50,156275211655615627521966161566199232066
perf_std_ch10_1611_1_51,156275211655615627521966161566199232066
perf_std_ch10_1611_1_52,156275211655615627521966161566199232066
perf_std_ch10_1611_1_53,156275211655615627521966161566199232066
perf_std_ch10_1611_1_54,156275211655615627521966161566199232066
perf_std_ch10_1611_1_55,156275211655615627521966161566199232066
perf_std_ch10_1611_1_56,156275211655615627521966161566199232066
perf_std_ch10_1611_1_57,156275211655615627521966161566199232066
perf_std_ch10_1611_1_58,156275211655615627521966161566199232066
perf_std_ch10_1611_1_59,156275211655615627521966161566199232066
perf_std_ch10_1611_1_60,156275211655615627521966161566199232066
perf_std_ch10_1611_1_61,156275211655615627521966161566199232066
perf_std_ch10_1611_1_62,156275211655615627521966161566199232066
perf_std_ch10_1611_1_63,156275211655615627521966161566199232066
perf_std_ch10_1611_1_64,156275211655615627521966161566199232066
perf_std_ch10_1611_1_65,156275211655615627521966161566199232066
perf_std_ch10_1611_1_66,156275211655615627521966161566199232066
perf_std_ch10_1611_1_67,156275211655615627521966161566199232066
perf_std_ch10_1611_1_68,156275211655615627521966161566199232066
perf_std_ch10_1611_1_69,156275211655615627521966161566199232066
perf_std_ch10_1611_1_70,156275211655615627521966161566199232066
perf_std_ch10_1611_1_71,156275211655615627521966161566199232066
perf_std_ch10_1611_1_72,156275211655615627521966161566199232066
perf_std_ch10_1611_1_73,156275211655615627521966161566199232066
perf_std_ch10_1611_1_74,156275211655615627521966161566199232066
perf_std_ch10_1611_1_75,156275211655615627521966161566199232066
perf_std_ch10_1611_1_76,156275211655615627521966161566199232066
perf_std_ch10_1611_1_77,156275211655615627521966161566199232066
perf_std_ch10_1611_1_78,156275211655615627521966161566199232066
perf_std_ch10_1611_1_79,156275211655615627521966161566199232066
perf_std_ch10_1611_1_80,156275211655615627521966161566199232066
perf_std_ch10_1611_1_81,156275211655615627521966161566199232066
perf_std_ch10_1611_1_82,156275211655615627521966161566199232066
perf_std_ch10_1611_1_83,156275211655615627521966161566199232066
perf_std_ch10_1611_1_84,156275211655615627521966161566199232066
perf_std_ch10_1611_1_85,156275211655615627521966161566199232066
perf_std_ch10_1611_1_86,156275211655615627521966161566199232066
perf_std_ch10_1611_1_87,156275211655615627521966161566199232066
perf_std_ch10_1611_1_88,156275211655615627521966161566199232066
perf_std_ch10_1611_1_89,156275211655615627521966161566199232066
perf_std_ch10_1611_1_90,156275211655615627521966161566199232066
perf_std_ch10_1611_1_91,156275211655615627521966161566199232066
perf_std_ch10_1611_1_92,156275211655615627521966161566199232066
perf_std_ch10_1611_1_93,156275211655615627521966161566199232066
perf_std_ch10_1611_1_94,156275211655615627521966161566199232066
perf_std_ch10_1611_1_95,156275211655615627521966161566199232066
perf_std_ch10_1611_1_96,156275211655615627521966161566199232066
perf_std_ch10_1611_1_97,156275211655615627521966161566199232066
perf_std_ch10_1611_1_98,156275211655615627521966161566199232066
perf_std_ch10_1611_1_99,156275211655615627521966161566199232066
perf_std_ch10_1611_1_100,156275211655615627521966161566199232066
perf_std_ch10_1611_1_101,156275211655615627521966161566199232066
perf_std_ch10_1611_1_102,156275211655615627521966161566199232066
perf_std_ch10_1611_1_103,156275211655615627521966161566199232066
perf_std_ch10_1611_1_104,156275211655615627521966161566199232066
perf_std_ch10_1611_1_105,156275211655615627521966161566199232066
perf_std_ch10_1611_1_106,156275211655615627521966161566199232066
perf_std_ch10_1611_1_107,156275211655615627521966161566199232066
perf_std_ch10_1611_1_108,156275211655615627521966161566199232066
perf_std_ch10_1611_1_109,156275211655615627521966161566199232066
perf_std_ch10_1611_1_110,156275211655615627521966161566199232066
perf_std_ch10_1611_1_111,156275211655615627521966161566199232066
perf_std_ch10_1611_1_112,156275211655615627521966161566199232066
perf_std_ch10_1611_1_113,156275211655615627521966161566199232066
perf_std_ch10_1611_1_114,156275211655615627521966161566199232066
perf_std_ch10_1611_1_115,156275211655615627521966161566199232066
perf_std_ch10_1611_1_116,156275211655615627521966161566199232066
perf_std_ch10_1611_1_117,156275211655615627521966161566199232066
perf_std_ch10_1611_1_118,156275211655615627521966161566199232066
perf_std_ch10_1611_1_119,156275211655615627521966161566199232066
