teacherextuserid,classtitle,classcode,category
tch_20230826-073102_48,class_20230826-073102_48,nz4o-ap76,3B8PE
tch_20230826-073102_165,class_20230826-073102_165,kQ38-XQ2j,3B8PE
tch_20230826-073102_78,class_20230826-073102_78,86aC-8XJa,3B8PE
tch_20230826-073102_182,class_20230826-073102_182,rVHi-CyPb,3B8PE
tch_20230825-225843_78,class_20230825-225843_78,ek8N-LytM,3B8PE
tch_20230825-225843_53,class_20230825-225843_53,Tf69-zyHG,3B8PE
tch_20230826-073102_162,class_20230826-073102_162,8z6y-MVnd,3B8PE
tch_20230826-073102_147,class_20230826-073102_147,Y7Nw-yA3a,3B8PE
tch_20230826-073102_194,class_20230826-073102_194,a4dt-aVy9,3B8PE
tch_20230825-225843_42,class_20230825-225843_42,68VL-djL2,3B8PE
tch_20230826-073102_171,class_20230826-073102_171,RJc2-D2G8,3B8PE
tch_20230825-225843_43,class_20230825-225843_43,PM8r-4Zka,3B8PE
tch_20230826-073102_150,class_20230826-073102_150,WLfB-G7zf,3B8PE
tch_20230826-073102_173,class_20230826-073102_173,WZMp-aj9k,3B8PE
tch_20230826-073102_181,class_20230826-073102_181,86nX-Qi7Z,3B8PE
tch_20230825-225843_51,class_20230825-225843_51,6UwW-BbY8,3B8PE
tch_20230825-225843_49,class_20230825-225843_49,n6Tc-3C7j,3B8PE
tch_20230826-073102_148,class_20230826-073102_148,4Z9i-3y2e,3B8PE
tch_20230826-073102_179,class_20230826-073102_179,K8er-7ZPH,3B8PE
tch_20230825-225843_68,class_20230825-225843_68,r47Y-jHQ2,3B8PE
tch_20230825-225843_44,class_20230825-225843_44,3ZAM-sF2D,3B8PE
tch_20230825-225843_97,class_20230825-225843_97,U7jL-pLA8,3B8PE
tch_20230826-073102_44,class_20230826-073102_44,62Bu-bH3w,3B8PE
tch_20230826-073102_88,class_20230826-073102_88,L9GE-3qr7,3B8PE
tch_20230826-073102_93,class_20230826-073102_93,fFuK-AeRH,3B8PE
tch_20230826-073102_186,class_20230826-073102_186,qT46-f28F,3B8PE
tch_20230825-225843_72,class_20230825-225843_72,E6tX-RukF,3B8PE
tch_20230826-073102_193,class_20230826-073102_193,d8Ts-qcW7,3B8PE
tch_20230826-073102_154,class_20230826-073102_154,v9rf-6VLg,3B8PE
tch_20230825-225843_95,class_20230825-225843_95,apsB-6eX9,3B8PE
tch_20230825-225843_50,class_20230825-225843_50,us6g-fkHv,3B8PE
tch_20230826-073102_45,class_20230826-073102_45,MEqv-DTHo,3B8PE
tch_20230825-225843_71,class_20230825-225843_71,zNHa-Mr3H,3B8PE
tch_20230826-073102_85,class_20230826-073102_85,37Qb-j37Q,3B8PE
tch_20230826-073102_187,class_20230826-073102_187,Aq6L-kXH6,3B8PE
tch_20230826-073102_77,class_20230826-073102_77,jz9N-6CKu,3B8PE
tch_20230826-073102_189,class_20230826-073102_189,cmd7-qEf4,3B8PE
tch_20230826-073102_191,class_20230826-073102_191,tKgi-79JR,3B8PE
tch_20230826-073102_94,class_20230826-073102_94,c4V4-pXdA,3B8PE
tch_20230826-073102_172,class_20230826-073102_172,6h8d-936c,3B8PE
tch_20230826-073102_192,class_20230826-073102_192,w8Ap-n3r4,3B8PE
tch_20230826-073102_70,class_20230826-073102_70,w7g8-2Pw4,3B8PE
tch_20230826-073102_200,class_20230826-073102_200,zB2R-bE7x,3B8PE
tch_20230825-225843_48,class_20230825-225843_48,PYUZ-ucQf,3B8PE
tch_20230826-073102_159,class_20230826-073102_159,43wh-2LZ6,3B8PE
tch_20230826-073102_69,class_20230826-073102_69,bH7f-x6T8,3B8PE
tch_20230825-225843_61,class_20230825-225843_61,rjBj-GqC3,3B8PE
tch_20230825-225843_74,class_20230825-225843_74,7Fe8-wLr3,3B8PE
tch_20230826-073102_174,class_20230826-073102_174,CTRc-ZG3T,3B8PE
tch_20230826-073102_56,class_20230826-073102_56,Bydc-EeCp,3B8PE
tch_20230826-073102_72,class_20230826-073102_72,2QcY-AxXw,3B8PE
tch_20230826-073102_197,class_20230826-073102_197,grJC-K8n3,3B8PE
tch_20230826-073102_149,class_20230826-073102_149,BkKG-8Qn9,3B8PE
tch_20230825-225843_76,class_20230825-225843_76,TZXK-pQE9,3B8PE
tch_20230826-073102_79,class_20230826-073102_79,KJ4c-3axU,3B8PE
tch_20230825-225843_83,class_20230825-225843_83,EYjW-a3jf,3B8PE
tch_20230825-225843_92,class_20230825-225843_92,Pktw-Eh9e,3B8PE
tch_20230825-225843_63,class_20230825-225843_63,2j8d-wBFN,3B8PE
tch_20230826-073102_83,class_20230826-073102_83,w68u-PtQE,3B8PE
tch_20230826-073102_196,class_20230826-073102_196,2vb2-xjmp,3B8PE
tch_20230826-073102_176,class_20230826-073102_176,q3Zo-c4nB,3B8PE
tch_20230825-225843_59,class_20230825-225843_59,Y9xG-8tAr,3B8PE
tch_20230826-073102_156,class_20230826-073102_156,y6xp-FDoA,3B8PE
tch_20230826-073102_169,class_20230826-073102_169,36Cu-km6X,3B8PE
tch_20230826-073102_146,class_20230826-073102_146,Bv63-7q46,3B8PE
tch_20230826-073102_59,class_20230826-073102_59,L742-3Fb3,3B8PE
tch_20230826-073102_158,class_20230826-073102_158,6nxs-PAj8,3B8PE
tch_20230826-073102_82,class_20230826-073102_82,ZR7b-Nyv6,3B8PE
tch_20230826-073102_163,class_20230826-073102_163,EAwk-Z9JY,3B8PE
tch_20230826-073102_50,class_20230826-073102_50,ipJ7-rnFY,3B8PE
tch_20230826-073102_55,class_20230826-073102_55,376q-r9Q3,3B8PE
tch_20230825-225843_69,class_20230825-225843_69,Q4ny-Tp2P,3B8PE
tch_20230825-225843_58,class_20230825-225843_58,4pnF-k8ov,3B8PE
tch_20230826-073102_51,class_20230826-073102_51,UeoH-PGwF,3B8PE
tch_20230826-073102_81,class_20230826-073102_81,Fvnb-RXtq,3B8PE
tch_20230825-225843_87,class_20230825-225843_87,kgX8-Xm6v,3B8PE
tch_20230825-225843_52,class_20230825-225843_52,Y6LF-H6qQ,3B8PE
tch_20230825-225843_47,class_20230825-225843_47,bW3N-cbAb,3B8PE
tch_20230826-073102_153,class_20230826-073102_153,NvE9-3Wvs,3B8PE
tch_20230825-225843_77,class_20230825-225843_77,WrQ3-z7Rf,3B8PE
tch_20230826-073102_155,class_20230826-073102_155,6y2k-xgoQ,3B8PE
tch_20230826-073102_46,class_20230826-073102_46,4CNV-K9rt,3B8PE
tch_20230826-073102_167,class_20230826-073102_167,7ds9-Wafs,3B8PE
tch_20230826-073102_76,class_20230826-073102_76,anQZ-4wkP,3B8PE
tch_20230826-073102_92,class_20230826-073102_92,7Rbm-79bj,3B8PE
tch_20230826-073102_64,class_20230826-073102_64,7qxn-aZVC,3B8PE
tch_20230825-225843_89,class_20230825-225843_89,8od7-KgZu,3B8PE
tch_20230826-073102_67,class_20230826-073102_67,zd9D-t8xK,3B8PE
tch_20230825-225843_67,class_20230825-225843_67,6aVM-K6sg,3B8PE
tch_20230826-073102_43,class_20230826-073102_43,QRNA-jCsj,3B8PE
tch_20230826-073102_164,class_20230826-073102_164,7EYd-9Yzv,3B8PE
tch_20230826-073102_47,class_20230826-073102_47,8J4C-t9hm,3B8PE
tch_20230826-073102_87,class_20230826-073102_87,8R4F-X2KW,3B8PE
tch_20230826-073102_183,class_20230826-073102_183,4A39-2FVo,3B8PE
tch_20230826-073102_190,class_20230826-073102_190,FuRC-8dRH,3B8PE
tch_20230825-225843_85,class_20230825-225843_85,JBgb-wU32,3B8PE
tch_20230825-225843_80,class_20230825-225843_80,UjzC-Jpki,3B8PE
tch_20230826-073102_177,class_20230826-073102_177,7aTx-g9N3,3B8PE
tch_20230825-225843_54,class_20230825-225843_54,tnJg-2Q7E,3B8PE
tch_20230825-225843_96,class_20230825-225843_96,BrY3-thZM,3B8PE
tch_20230825-225843_56,class_20230825-225843_56,67YA-W64q,3B8PE
tch_20230826-073102_97,class_20230826-073102_97,H4K7-jv3C,3B8PE
tch_20230825-225843_81,class_20230825-225843_81,MyAi-gx3j,3B8PE
tch_20230825-225843_60,class_20230825-225843_60,7WKe-rYbX,3B8PE
tch_20230826-073102_53,class_20230826-073102_53,gMqJ-jU2X,3B8PE
tch_20230825-225843_62,class_20230825-225843_62,TUif-8796,3B8PE
tch_20230826-073102_52,class_20230826-073102_52,k2ny-h82f,3B8PE
tch_20230826-073102_86,class_20230826-073102_86,Yb2P-jiT7,3B8PE
tch_20230826-073102_58,class_20230826-073102_58,9K2u-HhU4,3B8PE
tch_20230825-225843_46,class_20230825-225843_46,8dJH-eJ29,3B8PE
tch_20230826-073102_100,class_20230826-073102_100,RjWd-yp42,3B8PE
tch_20230825-225843_94,class_20230825-225843_94,29FZ-9APV,3B8PE
tch_20230826-073102_90,class_20230826-073102_90,xAUg-BUfx,3B8PE
tch_20230826-073102_80,class_20230826-073102_80,37ej-BbiJ,3B8PE
tch_20230825-225843_88,class_20230825-225843_88,DQs4-87h2,3B8PE
tch_20230825-225843_41,class_20230825-225843_41,9C4p-h868,3B8PE
tch_20230826-073102_65,class_20230826-073102_65,y9GH-br4R,3B8PE
tch_20230825-225843_86,class_20230825-225843_86,624V-PrN2,3B8PE
tch_20230826-073102_170,class_20230826-073102_170,486C-9fsX,3B8PE
tch_20230826-073102_157,class_20230826-073102_157,PmM4-ahso,3B8PE
tch_20230825-225843_66,class_20230825-225843_66,jXu6-2VF7,3B8PE
tch_20230825-225843_64,class_20230825-225843_64,8CQD-Hqx8,3B8PE
tch_20230826-073102_143,class_20230826-073102_143,9tCk-37TW,3B8PE
tch_20230826-073102_141,class_20230826-073102_141,j29j-nPX8,3B8PE
tch_20230826-073102_152,class_20230826-073102_152,Dv2V-Mbaz,3B8PE
tch_20230825-225843_55,class_20230825-225843_55,QR4P-CNgi,3B8PE
tch_20230826-073102_42,class_20230826-073102_42,3xKB-oqyg,3B8PE
tch_20230826-073102_198,class_20230826-073102_198,PTBp-BhGN,3B8PE
tch_20230826-073102_144,class_20230826-073102_144,G7zd-6yKH,3B8PE
tch_20230826-073102_199,class_20230826-073102_199,k43h-mWKX,3B8PE
tch_20230826-073102_89,class_20230826-073102_89,oX4U-tubc,3B8PE
tch_20230826-073102_49,class_20230826-073102_49,98vd-fzq8,3B8PE
tch_20230826-073102_98,class_20230826-073102_98,FGLC-DqWF,3B8PE
tch_20230826-073102_160,class_20230826-073102_160,xtYQ-KDod,3B8PE
