extuserid,studentuserid1,studentext,classcode
tch_20230818-233633_22,178cbe70-d0c3-439c-b630-7729c20e8141,std_1692433390469_22,khTv-Rf2p
tch_20230818-233633_36,79f3aa4b-96aa-4bf3-b6b6-f7874c0dff65,std_1692433391595_36,Q43h-9TCU
tch_20230818-233633_29,ff6bdd2c-f506-4d1d-853d-4e870124c521,std_1692433391511_29,vfmW-3fG3
tch_20230818-233633_30,037b77b6-ecc4-415b-837b-41273d7d150f,std_1692433394173_30,7ys9-Y8DE
tch_20230818-233633_24,b0c6ffc3-c8f8-450c-82e4-4dfc11e59b22,std_1692433396310_24,e38A-mGQ3
tch_20230818-233633_23,f1103064-938f-4d7c-9638-504a1b9dba8a,std_1692433393047_23,QTzf-zvrZ
tch_20230818-233633_33,0da30f76-8ae7-4ca4-ac23-1eaa8b086979,std_1692433402528_33,y4v3-akyN
tch_20230818-233633_18,1cc8b86a-356f-4b93-9f94-96167d14815a,std_1692433400276_18,sg2y-GAKs
tch_20230818-233633_37,edaae0b4-0def-4bab-abf4-212f11efdad2,std_1692433395597_37,3z2h-X7UN
tch_20230818-233633_17,15009894-18d6-44e0-bf71-8c1f24ec6ba3,std_1692433400908_17,z7NY-oJzZ
tch_20230818-233633_31,0e25bf7c-f625-446c-8784-85b6d9765d72,std_1692433401687_31,t7fH-74xi
tch_20230818-233633_25,e9163b81-2715-46b8-837d-188c6fb5d66c,std_1692433399271_25,HXBE-tQ3A
tch_20230818-233633_39,10dcc71f-c310-497b-851e-81aed70d238f,std_1692433403612_39,eXaB-bLsW
tch_20230818-233633_20,02724950-376f-4aa6-a1b6-8e2ac8525a32,std_1692433404607_20,EgNf-WHms
tch_20230818-233633_32,8e6129b8-0139-44b1-baed-c2560db97f50,std_1692433403197_32,4iFB-4HCL
tch_20230818-233633_27,0872c563-14e3-4e0e-b448-2159e40fd001,std_1692433402938_27,fEKq-LR9f
tch_20230818-233633_26,4c227524-4be7-4927-b58f-ed0b6af80dd3,std_1692433406892_26,jkiM-FNx3
tch_20230818-233633_21,a8149169-275f-422c-8517-99d112d29da4,std_1692433411169_21,o2sW-JDZK
tch_20230818-233633_34,2757dccc-a70a-4856-a878-650114e74840,std_1692433408385_34,sHB9-F6HY
tch_20230818-233633_28,256044c1-2f52-4a86-8d71-794e3afeba9d,std_1692433408505_28,pFcW-yugv
tch_20230818-233633_40,20df6976-068e-400b-bca1-277448b33b29,std_1692433407615_40,AR4F-s4Ei
tch_20230818-233633_35,4bca3837-fd3e-4db1-a1bd-86509a8f31a0,std_1692433416503_35,Ttbk-wrvP
tch_20230818-233633_41,7fadde2d-35ac-430f-a590-e3c6d50be742,std_1692433411615_41,93c7-j82g
tch_20230818-233633_42,7a528b0f-e231-443d-ac26-b33dd6cc74dd,std_1692433415627_42,Bzcm-teP7
tch_20230818-233633_43,1c2d14c6-a06d-41b9-8ea8-66436d15d526,std_1692433419624_43,QbU9-qh4d
tch_20230818-233633_36,d656adb1-ee07-4451-b051-5abcf11eb4f3,std_1692433417246_36,Q43h-9TCU
tch_20230818-233633_22,58a02f92-751f-4f1e-a865-bd0f826d1be3,std_1692433416750_22,khTv-Rf2p
tch_20230818-233633_24,95aa698e-4478-4ed3-ba62-d69ee75a06d8,std_1692433420841_24,e38A-mGQ3
tch_20230818-233633_30,7db9375b-10f1-46fa-bd56-ef852d0c6615,std_1692433420669_30,7ys9-Y8DE
tch_20230818-233633_29,4fef39d7-3c29-4727-82f4-2617b9dc5249,std_1692433419792_29,vfmW-3fG3
tch_20230818-233633_38,77933cd9-6e9d-4cb2-bd0f-32854eb500f3,std_1692433427625_38,JNnL-kM4E
tch_20230818-233633_23,33f2c8ac-3b5d-489a-8586-68da0ff6e3b5,std_1692433421037_23,QTzf-zvrZ
tch_20230818-233633_45,b93a562b-9efa-4106-9fcc-f24e58501d15,std_1692433427632_45,p76s-FNLu
tch_20230818-233633_44,a994fb1b-d80b-4a3a-8d82-a063e7fe8cc3,std_1692433423630_44,bkpq-R3HA
tch_20230818-233633_33,e30520f2-de75-4eaa-91ce-2a32eca762f4,std_1692433424714_33,y4v3-akyN
tch_20230818-233633_25,255f3247-7417-4f9a-bf16-e0a6655629a6,std_1692433428465_25,HXBE-tQ3A
tch_20230818-233633_31,34c58299-9f64-4955-9aeb-98f496a3e94b,std_1692433427917_31,t7fH-74xi
tch_20230818-233633_39,0ad6565c-da6b-4dbb-84b9-2b3021543e4e,std_1692433428510_39,eXaB-bLsW
tch_20230818-233633_37,c5b193e0-f539-43f8-9253-68e71f0362c7,std_1692433424914_37,3z2h-X7UN
tch_20230818-233633_32,f7ef47fb-796b-41b7-95ae-5b0b5ad3dc1a,std_1692433430425_32,4iFB-4HCL
