teacherextuserid,classtitle,classcode,category
tch_20230823-172858_48,class_20230823-172858_48,2Azb-YJ29,3B8PE
tch_20230823-172858_61,class_20230823-172858_61,u9p4-t72L,3B8PE
tch_20230728-103923_22,class_20230728-103923_22,xQbi-dWk4,3B8PE
tch_20230823-153711_63,class_20230823-153711_63,hTLT-6Fc9,3B8PE
tch_20230728-103923_65,class_20230728-103923_65,KNy9-M7Uk,3B8PE
tch_20230823-193724_77,class_20230823-193724_77,WZ6h-RY6J,3B8PE
tch_20230801-163714_59,class_20230801-163714_59,wDtP-2vY8,3B8PE
tch_20230801-163714_46,class_20230801-163714_46,L626-7DQ4,3B8PE
tch_20230823-172858_9,class_20230823-172858_9,49CD-274g,3B8PE
tch_20230823-193724_73,class_20230823-193724_73,N3Dm-ZMCU,3B8PE
tch_20230816-142651_73,class_20230816-142651_73,JvtJ-rTKY,3B8PE
tch_20230801-163714_94,class_20230801-163714_94,8tdN-QG9y,3B8PE
tch_20230731-160740_49,class_20230731-160740_49,roHh-4k67,3B8PE
tch_20230731-160740_25,class_20230731-160740_25,wtug-GB9X,3B8PE
tch_20230823-153711_4,class_20230823-153711_4,747h-7ynC,3B8PE
tch_20230731-160740_35,class_20230731-160740_35,Pk28-Fqxt,3B8PE
tch_20230823-193724_65,class_20230823-193724_65,saX7-Xi3U,3B8PE
tch_20230801-163714_20,class_20230801-163714_20,m9QX-UPVW,3B8PE
tch_20230816-142651_13,class_20230816-142651_13,uvqf-JYfQ,3B8PE
tch_20230801-163714_23,class_20230801-163714_23,tB4w-9V3F,3B8PE
tch_20230731-160740_20,class_20230731-160740_20,FAb2-Vhy4,3B8PE
tch_20230731-160740_23,class_20230731-160740_23,9mu4-2ejv,3B8PE
tch_20230728-103923_73,class_20230728-103923_73,Dbga-fzE6,3B8PE
tch_20230731-160740_57,class_20230731-160740_57,7ENU-84Pm,3B8PE
tch_20230731-160740_15,class_20230731-160740_15,dBY3-a3rn,3B8PE
tch_20230728-103923_91,class_20230728-103923_91,27eH-GAtk,3B8PE
tch_20230731-160740_24,class_20230731-160740_24,D8Je-8jV2,3B8PE
tch_20230823-153711_94,class_20230823-153711_94,NFK3-k4Dj,3B8PE
tch_20230823-153711_75,class_20230823-153711_75,C927-RTNc,3B8PE
tch_20230817-105643_51,class_20230817-105643_51,7DL2-xq8M,3B8PE
tch_20230823-172858_98,class_20230823-172858_98,wUg9-hJHW,3B8PE
tch_20230823-193724_51,class_20230823-193724_51,dZrD-g9kH,3B8PE
tch_20230731-160740_82,class_20230731-160740_82,4Nx4-j7qV,3B8PE
tch_20230823-153711_8,class_20230823-153711_8,xPDw-Fp86,3B8PE
tch_20230801-163714_41,class_20230801-163714_41,37G8-mA9k,3B8PE
tch_20230731-160740_79,class_20230731-160740_79,TXv4-Cp3F,3B8PE
tch_20230801-163714_61,class_20230801-163714_61,b7fW-qr4Y,3B8PE
tch_20230731-160740_96,class_20230731-160740_96,cg94-Xmg6,3B8PE
tch_20230728-103923_41,class_20230728-103923_41,JfAo-e2Lg,3B8PE
tch_20230731-160740_95,class_20230731-160740_95,FT2C-nDLA,3B8PE
tch_20230816-142651_32,class_20230816-142651_32,zme2-TFZo,3B8PE
tch_20230823-172858_96,class_20230823-172858_96,26Qg-kv4g,3B8PE
tch_20230817-105643_77,class_20230817-105643_77,GH2U-Q8xP,3B8PE
tch_20230823-153711_31,class_20230823-153711_31,sezE-B4j3,3B8PE
tch_20230816-142651_21,class_20230816-142651_21,Mafn-Wa64,3B8PE
tch_20230816-142651_80,class_20230816-142651_80,7Lgs-GpZt,3B8PE
tch_20230823-153711_9,class_20230823-153711_9,yZBj-827v,3B8PE
tch_20230823-193724_64,class_20230823-193724_64,H9Vi-V97H,3B8PE
tch_20230728-103923_2,class_20230728-103923_2,84DN-xryt,3B8PE
tch_20230823-172858_31,class_20230823-172858_31,osZs-Dg2f,3B8PE
tch_20230801-163714_99,class_20230801-163714_99,g9qX-jdoz,3B8PE
tch_20230731-160740_54,class_20230731-160740_54,ekr7-6y8G,3B8PE
tch_20230728-103923_71,class_20230728-103923_71,paxY-M697,3B8PE
tch_20230801-163714_38,class_20230801-163714_38,LTiM-34j9,3B8PE
tch_20230728-103923_81,class_20230728-103923_81,VD8F-K47q,3B8PE
tch_20230731-160740_31,class_20230731-160740_31,7zwG-UBxT,3B8PE
tch_20230728-103923_30,class_20230728-103923_30,MVLd-YmjQ,3B8PE
tch_20230731-160740_70,class_20230731-160740_70,9Q8c-az7X,3B8PE
tch_20230823-193724_55,class_20230823-193724_55,k9sC-WfW6,3B8PE
tch_20230816-142651_89,class_20230816-142651_89,9s8L-9H2b,3B8PE
tch_20230731-160740_63,class_20230731-160740_63,TB4c-YG7H,3B8PE
tch_20230816-142651_18,class_20230816-142651_18,KU6F-nFo7,3B8PE
tch_20230801-163714_66,class_20230801-163714_66,qw9z-4z6Z,3B8PE
tch_20230816-142651_68,class_20230816-142651_68,7dRi-2474,3B8PE
tch_20230823-172858_76,class_20230823-172858_76,ZqZb-Lvnp,3B8PE
tch_20230823-153711_99,class_20230823-153711_99,38VW-TQiJ,3B8PE
tch_20230811-183231_37,class_20230811-183231_37,nPne-F82p,3B8PE
tch_20230817-105643_56,class_20230817-105643_56,3yZ8-ApmA,3B8PE
