extuserid,classcode,category
std_3X6z-Hi2K_1692883104103_41,3X6z-Hi2K,3B8PE
std_3X6z-Hi2K_1692883128641_41,3X6z-Hi2K,3B8PE
std_3X6z-Hi2K_1692883157690_41,3X6z-Hi2K,3B8PE
std_Er7f-DagU_1692883172533_42,Er7f-DagU,3B8PE
std_3X6z-Hi2K_1692883181422_41,3X6z-Hi2K,3B8PE
std_Er7f-DagU_1692883204595_42,Er7f-DagU,3B8PE
std_3X6z-Hi2K_1692883206972_41,3X6z-Hi2K,3B8PE
std_Ev6F-cmK9_1692883213948_43,Ev6F-cmK9,3B8PE
std_Er7f-DagU_1692883230059_42,Er7f-DagU,3B8PE
std_Ev6F-cmK9_1692883239195_43,Ev6F-cmK9,3B8PE
std_3X6z-Hi2K_1692883232572_41,3X6z-Hi2K,3B8PE
std_Gc7m-Qdkx_1692883238224_44,Gc7m-Qdkx,3B8PE
std_Er7f-DagU_1692883259469_42,Er7f-DagU,3B8PE
std_3X6z-Hi2K_1692883266781_41,3X6z-Hi2K,3B8PE
std_Gc7m-Qdkx_1692883268629_44,Gc7m-Qdkx,3B8PE
std_Ev6F-cmK9_1692883266150_43,Ev6F-cmK9,3B8PE
std_Er7f-DagU_1692883287434_42,Er7f-DagU,3B8PE
std_Gc7m-Qdkx_1692883296960_44,Gc7m-Qdkx,3B8PE
std_3X6z-Hi2K_1692883294175_41,3X6z-Hi2K,3B8PE
std_ZGL4-7fbs_1692883301660_45,ZGL4-7fbs,3B8PE
std_Ev6F-cmK9_1692883297326_43,Ev6F-cmK9,3B8PE
std_Er7f-DagU_1692883317227_42,Er7f-DagU,3B8PE
std_Gc7m-Qdkx_1692883321825_44,Gc7m-Qdkx,3B8PE
std_3X6z-Hi2K_1692883326007_41,3X6z-Hi2K,3B8PE
std_Ev6F-cmK9_1692883330675_43,Ev6F-cmK9,3B8PE
std_ZGL4-7fbs_1692883327406_45,ZGL4-7fbs,3B8PE
std_3WmW-gXdc_1692883337512_46,3WmW-gXdc,3B8PE
std_Er7f-DagU_1692883341899_42,Er7f-DagU,3B8PE
std_Gc7m-Qdkx_1692883351154_44,Gc7m-Qdkx,3B8PE
std_3X6z-Hi2K_1692883356686_41,3X6z-Hi2K,3B8PE
std_3WmW-gXdc_1692883365107_46,3WmW-gXdc,3B8PE
std_ZGL4-7fbs_1692883360659_45,ZGL4-7fbs,3B8PE
std_Ev6F-cmK9_1692883359769_43,Ev6F-cmK9,3B8PE
std_z2Zc-9Z7e_1692883372420_47,z2Zc-9Z7e,3B8PE
std_Er7f-DagU_1692883370169_42,Er7f-DagU,3B8PE
std_Gc7m-Qdkx_1692883377886_44,Gc7m-Qdkx,3B8PE
std_3X6z-Hi2K_1692883385793_41,3X6z-Hi2K,3B8PE
std_3WmW-gXdc_1692883389760_46,3WmW-gXdc,3B8PE
std_Ev6F-cmK9_1692883392453_43,Ev6F-cmK9,3B8PE
std_ZGL4-7fbs_1692883391050_45,ZGL4-7fbs,3B8PE
std_z2Zc-9Z7e_1692883396414_47,z2Zc-9Z7e,3B8PE
std_Gc7m-Qdkx_1692883409013_44,Gc7m-Qdkx,3B8PE
std_Er7f-DagU_1692883403869_42,Er7f-DagU,3B8PE
std_3X6z-Hi2K_1692883411303_41,3X6z-Hi2K,3B8PE
std_Ev6F-cmK9_1692883418867_43,Ev6F-cmK9,3B8PE
std_3WmW-gXdc_1692883416746_46,3WmW-gXdc,3B8PE
std_ZGL4-7fbs_1692883419076_45,ZGL4-7fbs,3B8PE
std_z2Zc-9Z7e_1692883428764_47,z2Zc-9Z7e,3B8PE
std_Er7f-DagU_1692883435534_42,Er7f-DagU,3B8PE
std_aG2y-4cV9_1692883434453_48,aG2y-4cV9,3B8PE
std_Gc7m-Qdkx_1692883435190_44,Gc7m-Qdkx,3B8PE
std_3X6z-Hi2K_1692883442423_41,3X6z-Hi2K,3B8PE
std_Ev6F-cmK9_1692883445881_43,Ev6F-cmK9,3B8PE
std_3WmW-gXdc_1692883447238_46,3WmW-gXdc,3B8PE
std_ZGL4-7fbs_1692883450375_45,ZGL4-7fbs,3B8PE
std_z2Zc-9Z7e_1692883454049_47,z2Zc-9Z7e,3B8PE
std_Er7f-DagU_1692883458976_42,Er7f-DagU,3B8PE
std_aG2y-4cV9_1692883464091_48,aG2y-4cV9,3B8PE
std_Gc7m-Qdkx_1692883464841_44,Gc7m-Qdkx,3B8PE
std_3X6z-Hi2K_1692883468812_41,3X6z-Hi2K,3B8PE
std_ZGL4-7fbs_1692883478817_45,ZGL4-7fbs,3B8PE
std_Ev6F-cmK9_1692883472948_43,Ev6F-cmK9,3B8PE
std_3WmW-gXdc_1692883477708_46,3WmW-gXdc,3B8PE
std_z2Zc-9Z7e_1692883480017_47,z2Zc-9Z7e,3B8PE
std_kzKi-W26h_1692883485742_49,kzKi-W26h,3B8PE
std_Er7f-DagU_1692883488042_42,Er7f-DagU,3B8PE
std_Gc7m-Qdkx_1692883490914_44,Gc7m-Qdkx,3B8PE
std_aG2y-4cV9_1692883490557_48,aG2y-4cV9,3B8PE
std_3X6z-Hi2K_1692883501775_41,3X6z-Hi2K,3B8PE
std_3WmW-gXdc_1692883506820_46,3WmW-gXdc,3B8PE
std_ZGL4-7fbs_1692883502264_45,ZGL4-7fbs,3B8PE
std_z2Zc-9Z7e_1692883507778_47,z2Zc-9Z7e,3B8PE
std_Ev6F-cmK9_1692883505091_43,Ev6F-cmK9,3B8PE
std_kzKi-W26h_1692883515024_49,kzKi-W26h,3B8PE
std_Er7f-DagU_1692883517190_42,Er7f-DagU,3B8PE
std_Gc7m-Qdkx_1692883520759_44,Gc7m-Qdkx,3B8PE
std_aG2y-4cV9_1692883521805_48,aG2y-4cV9,3B8PE
std_8d83-2f74_1692883522152_50,8d83-2f74,3B8PE
std_3X6z-Hi2K_1692883528482_41,3X6z-Hi2K,3B8PE
std_3WmW-gXdc_1692883535258_46,3WmW-gXdc,3B8PE
std_ZGL4-7fbs_1692883535389_45,ZGL4-7fbs,3B8PE
std_Ev6F-cmK9_1692883537866_43,Ev6F-cmK9,3B8PE
std_z2Zc-9Z7e_1692883537251_47,z2Zc-9Z7e,3B8PE
std_Gc7m-Qdkx_1692883548625_44,Gc7m-Qdkx,3B8PE
std_kzKi-W26h_1692883545207_49,kzKi-W26h,3B8PE
std_aG2y-4cV9_1692883552349_48,aG2y-4cV9,3B8PE
std_Er7f-DagU_1692883548545_42,Er7f-DagU,3B8PE
std_8d83-2f74_1692883552938_50,8d83-2f74,3B8PE
std_3WmW-gXdc_1692883561781_46,3WmW-gXdc,3B8PE
