teacherextuserid,classtitle,classcode,category
tch_20230809-111401_39,class_20230809-111401_39,LuEp-ERm8,3B8PE
tch_20230731-110048_64,class_20230731-110048_64,yxWf-i8Vs,3B8PE
tch_20230731-110048_38,class_20230731-110048_38,Y2oU-4h2N,3B8PE
tch_20230825-165833_91,class_20230825-165833_91,q2yL-k8pj,3B8PE
tch_20230824-222122_69,class_20230824-222122_69,pEoJ-f374,3B8PE
tch_20230727-142846_38,class_20230727-142846_38,aU29-sGRz,3B8PE
tch_20230825-001752_43,class_20230825-001752_43,72KM-gqo7,3B8PE
tch_20230809-142709_45,class_20230809-142709_45,aWsQ-nGgm,3B8PE
tch_20230825-075012_80,class_20230825-075012_80,TV8r-2bp4,3B8PE
tch_20230824-181153_86,class_20230824-181153_86,Pg24-cYpJ,3B8PE
tch_20230809-142709_31,class_20230809-142709_31,cd3v-tM6f,3B8PE
tch_20230824-181153_53,class_20230824-181153_53,wRKP-oCdK,3B8PE
tch_20230824-181153_71,class_20230824-181153_71,M2L7-v8eB,3B8PE
tch_20230811-131652_30,class_20230811-131652_30,Hf6L-2M6g,3B8PE
tch_20230825-165833_87,class_20230825-165833_87,PoM7-DXYj,3B8PE
tch_20230825-165833_79,class_20230825-165833_79,vLs6-9moZ,3B8PE
tch_20230824-222122_97,class_20230824-222122_97,tRx2-ti8k,3B8PE
tch_20230825-075012_98,class_20230825-075012_98,KG4c-Ho7K,3B8PE
tch_20230811-131652_45,class_20230811-131652_45,mydJ-Uy7Z,3B8PE
tch_20230824-222122_90,class_20230824-222122_90,FG2J-oEw7,3B8PE
tch_20230824-202013_83,class_20230824-202013_83,YN3c-zMt8,3B8PE
tch_20230824-202013_96,class_20230824-202013_96,79DM-2Nz6,3B8PE
tch_20230824-202013_84,class_20230824-202013_84,qa4J-493X,3B8PE
tch_20230809-142709_70,class_20230809-142709_70,NtjH-r9eJ,3B8PE
tch_20230811-131652_27,class_20230811-131652_27,tkTw-j2vx,3B8PE
