tchextid,stduuid,extuserid,groupid
tch_20230818-233633_249,f8151df9-c6e0-4539-ac4e-6ef64c5b7785,std_1692387536030_249,3ef06bac-fac3-431f-b636-0b956495d28f
tch_20230818-233633_250,89d20626-3fc2-4276-a97f-dc2cf86f39ff,std_1692387541352_250,203e37cd-6839-4b1c-a8cd-baaf07116545
tch_20230818-233633_249,8f9cf6cf-0c0d-4072-8e69-28b6c502e7ce,std_1692387511341_249,3ef06bac-fac3-431f-b636-0b956495d28f
tch_20230818-233633_250,9ae385ee-71ec-4c4c-bd39-a344e979313f,std_1692387511666_250,203e37cd-6839-4b1c-a8cd-baaf07116545
tch_20230818-233633_249,c4364873-f73b-4fdb-99c2-fff9f5e9a189,std_1692387482521_249,3ef06bac-fac3-431f-b636-0b956495d28f
tch_20230818-233633_250,7c6a5fe1-521d-4f64-b0b8-f053e698ebf2,std_1692387486620_250,203e37cd-6839-4b1c-a8cd-baaf07116545
tch_20230818-233633_249,41124827-f7fd-4c72-b287-02232b1b799b,std_1692387456545_249,3ef06bac-fac3-431f-b636-0b956495d28f
tch_20230818-233633_250,009ac7ac-11a1-4be1-a34e-f07345f045c6,std_1692387461737_250,203e37cd-6839-4b1c-a8cd-baaf07116545
tch_20230818-233633_249,fac72f2b-bbec-45e9-95e8-ce647d8f8bfa,std_1692387430027_249,3ef06bac-fac3-431f-b636-0b956495d28f
tch_20230818-233633_250,f32b3470-03e7-4cbe-9559-e794dc372c77,std_1692387437287_250,203e37cd-6839-4b1c-a8cd-baaf07116545
tch_20230818-233633_250,85cda2b1-7718-4021-bfb1-88f0d0541ac6,std_1692387411382_250,5c16c041-5b2f-4b95-930f-4d27b62a895b
tch_20230818-233633_248,510ec25f-4b78-4cb2-b2d2-ad256601c631,std_1692387516850_248,b87a72a3-f328-4f14-9fb3-d321168489a3
tch_20230818-233633_249,722fbbf0-0258-4509-a772-1d3096f6f994,std_1692387402896_249,26d9eab7-60df-4f77-b645-abc34fe43047
tch_20230818-233633_250,4315ad7a-be40-4974-9975-709eb55c9331,std_1692387382345_250,5c16c041-5b2f-4b95-930f-4d27b62a895b
tch_20230818-233633_248,059ea28e-89c6-49a2-888a-0071541d69fc,std_1692387491408_248,b87a72a3-f328-4f14-9fb3-d321168489a3
tch_20230818-233633_249,c1e0b796-c5f1-441b-9129-e7ba9e098995,std_1692387377684_249,26d9eab7-60df-4f77-b645-abc34fe43047
tch_20230818-233633_248,a94b3797-b1cb-4184-8898-cfdcdf2891f9,std_1692387464327_248,b87a72a3-f328-4f14-9fb3-d321168489a3
tch_20230818-233633_250,77a5c6a3-793d-4b74-b078-91d5b742b2e8,std_1692387354667_250,5c16c041-5b2f-4b95-930f-4d27b62a895b
tch_20230818-233633_249,7bbc7fb6-c8e1-466b-adc2-6fd780d7158e,std_1692387353123_249,26d9eab7-60df-4f77-b645-abc34fe43047
tch_20230818-233633_248,9e354cba-3f9d-4df0-8681-a55322018b56,std_1692387437932_248,b87a72a3-f328-4f14-9fb3-d321168489a3
tch_20230818-233633_250,b1b8d005-0c09-432b-bcf8-89710d341b4a,std_1692387330751_250,5c16c041-5b2f-4b95-930f-4d27b62a895b
